"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,"Charged Weight","Foward Freight","RTO Freight","Extra Wgt Charges","RTO Extra Wgt Charges","COD Charges","Sub Total",IGST,SGST,CGST,"Grand Total","Order Amount","Warehouse City","Warehouse State","Warehouse Pin Code",SKU(1),Product(1),Quantity(1),SKU(2),Product(2),Quantity(2),SKU(3),Product(3),Quantity(3),SKU(4),Product(4),Quantity(4),SKU(5),Product(5),Quantity(5),SKU(6),Product(6),Quantity(6),SKU(7),Product(7),Quantity(7),SKU(8),Product(8),Quantity(8),SKU(9),Product(9),Quantity(9),SKU(10),Product(10),Quantity(10)
Forward,"Ekart 500 gms",FSNC0019919432,Rto,"GUILTFREE INDUSTRIES LIMITED",71891,696074-6502993559739-SHOPIFY,COD,110016,"South West Delhi",0.5,0,34.08,0,0,-35.28,-1.2,-0.22,0,0,-1.42,321.00,Gurugram,Haryana,122001,1200339-33051090,"Anti Hairfall-200ml SH nw MRP MAR25",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Ekart 500 gms",FSNC0019999648,Rto,"GUILTFREE INDUSTRIES LIMITED",72985,699853-6510534000827-SHOPIFY,COD,110063,"West Delhi",1,0,64.37,0,0,-35.28,29.09,5.24,0,0,34.33,535.00,Gurugram,Haryana,122001,GST_SAD_37_CHFA_18_COMB-33051090,"Anti Dandruff Shampoo 370ml New MRP 533 + Hair Fall Arrest Conditioner 359 MRP + Wooden Comb",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310646645,Delivered,"GUILTFREE INDUSTRIES LIMITED",92061,SO00136-SO00136-CUSTOM,PREPAID,400604,Mumbai,0.5,54.39,0,0,0,0,54.39,9.79,0,0,64.18,0.00,Gurugram,Haryana,122001,1200339-33051090,"Anti Hairfall-200ml SH nw MRP MAR25",5,,,,,,,,,,,,,,,,,,,,,,,,,,,
