"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,"Charged Weight","Foward Freight","RTO Freight","Extra Wgt Charges","RTO Extra Wgt Charges","COD Charges","Sub Total",IGST,SGST,CGST,"Grand Total","Order Amount","Warehouse City","Warehouse State","Warehouse Pin Code",SKU(1),Product(1),Quantity(1),SKU(2),Product(2),Quantity(2),SKU(3),Product(3),Quantity(3),SKU(4),Product(4),Quantity(4),SKU(5),Product(5),Quantity(5),SKU(6),Product(6),Quantity(6),SKU(7),Product(7),Quantity(7),SKU(8),Product(8),Quantity(8),SKU(9),Product(9),Quantity(9),SKU(10),Product(10),Quantity(10)
Forward,"Blue Dart 500 gms",78032500335,Delivered,"ARORA ENTERPRISE",49790,#4490,COD,562107,Bangalore,0.5,66,0,0,0,45.16,111.16,0,10,10,131.17,798,"NEW DELHI",Delhi,110077,ER23906m,er2396mm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310344982,Rto,"ARORA ENTERPRISE",49793,#4491,COD,795002,Imphal,0.5,91.14,91.14,0,0,0,182.29,0,16.41,16.41,215.1,998,"NEW DELHI",Delhi,110077,ER24008m,er2408mm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78032504130,Rto,"ARORA ENTERPRISE",49796,#4492,COD,400709,"Navi mumbai",0.5,66,63.36,0,0,0,129.36,0,11.64,11.64,152.64,1098,"NEW DELHI",Delhi,110077,AN000108,an108,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78032507066,Rto,"ARORA ENTERPRISE",49798,#4493,COD,560106,Bangalore,0.5,62.7,60.58,0,0,0,123.29,0,11.1,11.1,145.48,898,"NEW DELHI",Delhi,110077,ER000236,er236,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310345026,Delivered,"ARORA ENTERPRISE",49801,#4495,COD,312024,Bhadsoda,0.5,54.39,0,0,0,38.22,92.61,0,8.33,8.33,109.28,898,"NEW DELHI",Delhi,110077,ER000236,er236,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310345041,Rto,"ARORA ENTERPRISE",49803,#4496,COD,312024,Bhadsoda,0.5,54.39,44.1,0,0,0,98.49,0,8.86,8.86,116.22,898,"NEW DELHI",Delhi,110077,ER000236,er236,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",76623766564,Delivered,"ARORA ENTERPRISE",49808,#4497,PREPAID,600100,Chennai,0.5,62.7,0,0,0,0,62.7,0,5.64,5.64,73.99,1328,"NEW DELHI",Delhi,110077,ER23906m,er2396mm,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310345096,Rto,"ARORA ENTERPRISE",49809,#4498,COD,400074,Mumbai,0.5,48.51,39.69,0,0,0,88.19,0,7.94,7.94,104.07,1098,"NEW DELHI",Delhi,110077,ER00235S,er235small,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78032518690,Rto,"ARORA ENTERPRISE",49815,#4485,COD,400028,Mumbai,0.5,62.7,60.58,0,0,0,123.29,0,11.1,11.1,145.48,1298,"NEW DELHI",Delhi,110077,ER000244,er244,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310345192,Delivered,"ARORA ENTERPRISE",49820,#4513,COD,679328,Wandoor,0.5,54.39,0,0,0,38.22,92.61,0,8.33,8.33,109.28,898,"NEW DELHI",Delhi,110077,ER000031,er031,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310345203,Delivered,"ARORA ENTERPRISE",49821,#4512,COD,144040,JALANDHAR,0.5,54.39,0,0,0,38.22,92.61,0,8.33,8.33,109.28,1098,"NEW DELHI",Delhi,110077,ER00243G,er243g,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310345225,Delivered,"ARORA ENTERPRISE",49823,#4511,COD,412115,Pirangut,0.5,54.39,0,0,0,38.22,92.61,0,8.33,8.33,109.28,998,"NEW DELHI",Delhi,110077,ER000026,er026,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310345273,Delivered,"ARORA ENTERPRISE",49828,#4510,COD,412115,Pirangut,0.5,54.39,0,0,0,38.22,92.61,0,8.33,8.33,109.28,1098,"NEW DELHI",Delhi,110077,ER000224,er224,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",76623788043,Delivered,"ARORA ENTERPRISE",49831,#4509,PREPAID,737136,Rangpo,0.5,66,0,0,0,0,66,0,5.94,5.94,77.88,1349,"NEW DELHI",Delhi,110077,ER000034,er034,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",76623796734,Delivered,"ARORA ENTERPRISE",49835,#4508,PREPAID,560094,Bangalore,0.5,62.7,0,0,0,0,62.7,0,5.64,5.64,73.99,2158,"NEW DELHI",Delhi,110077,ER000221,er221,1,ER000244,er244,2,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310345365,Delivered,"ARORA ENTERPRISE",49839,#4499,COD,781003,Guwahati,0.5,91.14,0,0,0,38.22,129.36,0,11.64,11.64,152.65,990,"NEW DELHI",Delhi,110077,ER000001,er001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310345590,Rto,"ARORA ENTERPRISE",49868,#4504,COD,841101,Sonepur,0.5,54.39,44.1,0,0,0,98.49,0,8.86,8.86,116.22,1098,"NEW DELHI",Delhi,110077,ER000224,er224,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",76623871306,Delivered,"ARORA ENTERPRISE",49870,#4503,PREPAID,500083,Hyderabad,0.5,62.7,0,0,0,0,62.7,0,5.64,5.64,73.99,899,"NEW DELHI",Delhi,110077,ER000101,er101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310345656,Rto,"ARORA ENTERPRISE",49875,#4502,COD,790104,Tawang,0.5,91.14,91.14,0,0,0,182.29,0,16.41,16.41,215.1,1298,"NEW DELHI",Delhi,110077,ER000028,er028,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78032569915,Delivered,"ARORA ENTERPRISE",49877,#4501,COD,462044,Bhopal,0.5,66,0,0,0,45.16,111.16,0,10,10,131.17,1298,"NEW DELHI",Delhi,110077,ER000212,er212,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310345682,Delivered,"ARORA ENTERPRISE",49879,#4500,PREPAID,814149,Deoghar,0.5,54.39,0,0,0,0,54.39,0,4.9,4.9,64.18,1079,"NEW DELHI",Delhi,110077,ER000028,er028,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",76623881504,Delivered,"ARORA ENTERPRISE",49882,#4507,PREPAID,383001,Himmatnagar,0.5,66,0,0,0,0,66,0,5.94,5.94,77.88,719,"NEW DELHI",Delhi,110077,ER000218,er218,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78016726443,Rto,"ARORA ENTERPRISE",46477,#4370,COD,400051,Mumbai,0.5,0,60.58,0,0,-45.16,15.42,0,1.39,1.39,18.2,998,"NEW DELHI",Delhi,110077,ER000008,er008,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",76624113554,Delivered,"ARORA ENTERPRISE",49932,#4437,PREPAID,110034,Delhi,0.5,41.4,0,0,0,0,41.4,0,3.73,3.73,48.85,1079,"NEW DELHI",Delhi,110077,ER000244,er244,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78027630645,Rto,"ARORA ENTERPRISE",48649,#4449,COD,226001,LUCKNOW,0.5,0,63.36,0,0,-45.16,18.19,0,1.64,1.64,21.47,1298,"NEW DELHI",Delhi,110077,ER000028,er028,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310327165,Rto,"ARORA ENTERPRISE",47823,#4422,COD,361005,JAMNAGAR,0.5,0,44.1,0,0,-38.22,5.88,0,0.53,0.53,6.94,898,"NEW DELHI",Delhi,110077,ER000236,er236,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310334460,Rto,"ARORA ENTERPRISE",48622,#4444,COD,144001,Jalandhar,0.5,0,44.1,0,0,-38.22,5.88,0,0.53,0.53,6.94,998,"NEW DELHI",Delhi,110077,ER000008,er008,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78027626821,Rto,"ARORA ENTERPRISE",48645,#4448,COD,302031,Jaipur,0.5,0,63.36,0,0,-45.16,18.19,0,1.64,1.64,21.47,1298,"NEW DELHI",Delhi,110077,ER000244,er244,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
