"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,"Charged Weight","Foward Freight","RTO Freight","Extra Wgt Charges","RTO Extra Wgt Charges","COD Charges","Sub Total",IGST,SGST,CGST,"Grand Total","Order Amount","Warehouse City","Warehouse State","Warehouse Pin Code",SKU(1),Product(1),Quantity(1),SKU(2),Product(2),Quantity(2),SKU(3),Product(3),Quantity(3),SKU(4),Product(4),Quantity(4),SKU(5),Product(5),Quantity(5),SKU(6),Product(6),Quantity(6),SKU(7),Product(7),Quantity(7),SKU(8),Product(8),Quantity(8),SKU(9),Product(9),Quantity(9),SKU(10),Product(10),Quantity(10)
Forward,"Blue Dart 500 gms",77911349526,Rto,"ARORA ENTERPRISE",32660,#3163,COD,110015,Delhi,0.5,41.4,39.44,0,0,0,80.84,0,7.28,7.28,95.39,1298,"NEW DELHI",Delhi,110077,ER000210,er210,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",77911349854,Delivered,"ARORA ENTERPRISE",32661,#3173,COD,700157,Kolkata,0.5,62.7,0,0,0,45.16,107.86,0,9.71,9.71,127.28,1298,"NEW DELHI",Delhi,110077,ER000028,er028,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",77893625552,Rto,"ARORA ENTERPRISE",29739,#2890,COD,560078,Bangalore,0.5,0,45.46,0,0,-37.6,7.86,0,0.71,0.71,9.27,1098,"NEW DELHI",Delhi,110077,ER000224,er224,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310202031,Rto,"ARORA ENTERPRISE",31567,#3083,COD,791111,"Papum Pare",0.5,0,91.14,0,0,-38.22,52.92,0,4.76,4.76,62.45,1298,"NEW DELHI",Delhi,110077,PE000010,pe010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",77894840111,Rto,"ARORA ENTERPRISE",29861,#2914,COD,560008,Bangalore,0.5,0,45.46,0,0,-37.6,7.86,0,0.71,0.71,9.27,998,"NEW DELHI",Delhi,110077,ER000008,er008,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",77896726935,Rto,"ARORA ENTERPRISE",30303,#2961,COD,500049,Hyderabad,0.5,0,45.46,0,0,-37.6,7.86,0,0.71,0.71,9.27,1398,"NEW DELHI",Delhi,110077,AN000010,an010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",77896725196,Rto,"ARORA ENTERPRISE",30300,#2960,COD,500049,Hyderabad,0.5,0,45.46,0,0,-37.6,7.86,0,0.71,0.71,9.27,1398,"NEW DELHI",Delhi,110077,AN000010,an010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",77894834570,Rto,"ARORA ENTERPRISE",29860,#2921,COD,626117,"Tamil nadu",0.5,0,45.68,0,0,-37.6,8.08,0,0.73,0.73,9.53,1298,"NEW DELHI",Delhi,110077,PE000106,pe106,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",77578669803,Delivered,"ARORA ENTERPRISE",32845,#3197,PREPAID,414003,Ahmednagar,0.5,66,0,0,0,0,66,0,5.94,5.94,77.88,1780,"NEW DELHI",Delhi,110077,AN000003,an003,1,BR000003,br003,1,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",77912510281,Delivered,"ARORA ENTERPRISE",32846,#3193,COD,485001,Satna,0.5,66,0,0,0,45.16,111.16,0,10,10,131.17,1298,"NEW DELHI",Delhi,110077,ER000028,er028,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
