AWB Number,Amount
77745659876,1919
77748116946,25480
77748164653,894
77749342834,1619
77749369412,1868
77749377974,1819
77749387365,1169
77749387380,1094
77750351350,1722
77750366724,758
77750416030,1836
77750418185,1258
77750418314,1258
77750595042,452
77751008252,2834
77751281090,1539
77751281451,1483
77751309005,1322
77751324221,1687
77751418614,1258
77752160990,1
77752198753,12195
77752310300,6926
77752366591,1619
77752371981,1516
77752373392,2483
77752406804,861
77752436705,316
77752451254,3041
77752453660,894
77752454544,1619
77752454835,7000
77752800786,977
77753120911,1137
77753280990,1116
77753603222,3780
77753607046,848
77753623640,866
77753839026,2382
77753855336,1
77753866492,977
77753892974,1441
77753913042,977
77753924721,1441
77753939885,178
77753949011,5313
77754042170,977
77754698770,855
77754869430,1537
77756361314,867
