AWB Number,Amount
DKTGO-3121829065,478
DKTGO-0727427435,421
DKTGO-3033313268,801
DKTGO-7465490561,459
DKTGO-1706715298,478
DKTGO-5442321635,478
DKTGO-6249024623,543
DKTGO-9492393499,543
DKTGO-5753457765,1030
DKTGO-3433512200,459
DKTGO-0745399898,534
DKTGO-0575132099,997
DKTGO-2022432093,516
DKTGO-4026291180,543
DKTGO-2412334231,974
DKTGO-1663859450,478
DKTGO-9142518540,1017
DKTGO-8382861473,759
DKTGO-9721026380,459
DKTGO-6313284091,478
DKTGO-2586895189,928
DKTGO-0919069316,908
DKTGO-8183222118,801
DKTGO-5606471773,543
DKTGO-3898639199,886
DKTGO-9096023170,516
