AWB Number,Amount
DKTGO-3569021532,457
DKTGO-3136899922,478
DKTGO-8009087317,515
DKTGO-5589107588,934.8
DKTGO-6427737928,457
DKTGO-9951798881,515.85
DKTGO-2573896225,515.85
DKTGO-6304920598,543
DKTGO-1143435306,478
DKTGO-3935948469,515.85
DKTGO-9122711299,478
DKTGO-3936743022,464
DKTGO-0382114610,515.85
DKTGO-0948444200,550.05
DKTGO-6371098502,543
DKTGO-4711298026,543
DKTGO-0489578232,459
DKTGO-9884165567,459
DKTGO-6769504423,457
DKTGO-9576415454,1452
DKTGO-5631897797,459
DKTGO-1116871450,421
DKTGO-9937332657,446
DKTGO-2755044719,515
DKTGO-7849001884,515.85
DKTGO-2232009689,310
DKTGO-4067069933,444
DKTGO-7967273766,923.4
DKTGO-1322049089,421
DKTGO-1489212250,562
DKTGO-8224930884,579
DKTGO-8589986700,977.4
DKTGO-6992539134,515.85
DKTGO-2183259639,515.85
DKTGO-7599362369,543
DKTGO-7954329507,421
DKTGO-7313745867,515.85
DKTGO-2214719395,800.85
DKTGO-3694424183,459
DKTGO-8095331734,722.7
DKTGO-9234545235,543
DKTGO-7077196654,457
DKTGO-0361500180,521.55
DKTGO-8124944132,478
DKTGO-8935758912,478
DKTGO-8780210863,550.05
DKTGO-5456651290,565.85
DKTGO-7067434120,457
DKTGO-7472911642,918
DKTGO-4469757558,843
DKTGO-4005630627,457
DKTGO-9439528021,515.85
DKTGO-8233238481,543
DKTGO-6976146492,488.7
DKTGO-4411568486,478
DKTGO-0023698499,515.85
DKTGO-9957919766,562
DKTGO-6289315080,356
DKTGO-1795716720,478
DKTGO-3316916966,487
DKTGO-7043466432,934.8
DKTGO-0151008341,969.95
DKTGO-3460059864,468
DKTGO-6488310897,515
DKTGO-0417939239,424
DKTGO-6948097124,565.85
DKTGO-7537761135,543
DKTGO-4621071436,515.85
DKTGO-1341092019,543
DKTGO-5418748073,543
