AWB Number,Amount
153689150000375,939
153689150001451,1593
153689150002257,1372
153689150001791,4149
153689150003506,501
153689150002300,939
153689150003887,999
153689150003791,1123
153689150001753,999
153689150003731,2917
153689150003279,934
153689150003261,2331
153689150004030,3280
153689150002797,969
153689150000361,1092
153689150002457,1307
153689150002328,2517
153689150003966,2787
153689150001117,3393
153689150002440,3028
153689150003647,1235
153689150002512,2141
153689150000113,825
153689150002247,2281
153689150002909,5142
153689150000199,1294
153689150003858,6140
153689150001847,2264
153689150001927,593
153689150003833,2501
153689150001287,999
153689150002217,969
153689150002425,921
153689150003719,329
153689150002708,3784
153689150000459,969
153689150000498,993
153689150003443,1722
153689150003538,3005
153689150003155,1432
153689150002284,1357
153689150003104,2150
153689150000422,1044
153689150002707,942
153689150002214,881
153689150003441,2953
153689150000101,1189
153689150000344,4337
153689150001597,1217
153689150003923,1469
153689150002380,1217
153689150001138,2953
153689150001944,3882
153689150002835,867
153689150000091,798
153689150002070,239
153689150002713,612
153689150001645,1469
153689150001423,3797
153689150002587,939
