AWB Number,Amount
35604310201666,3349
35604310202543,2572
35604310207163,898
35604310204190,1554
35604310200023,945
35604310202090,1929
35604310208736,1189
35604310202646,1279
35604310204374,1508
35604310201283,1398
35604310201084,1532
35604310202451,466
35604310201736,2542
35604310202440,628
35604310198870,2607
35604310202635,1038
35604310198586,1114
35604310203011,1299
35604310201703,1268
35604310203453,1156
35604310200373,1081
35604310204400,1241
35604310204831,1299
35604310202882,2406
35604310201946,1237
35604310204606,1266
35604310201526,1154
35604310196383,1241
35604310196184,2538
35604310201423,1135
35604310198516,3393
35604310203276,2385
35604310200200,748
35604310202020,1299
35604310195064,1171
35604310199076,969
35604310207524,1138
35604310209403,990
35604310203884,1055
35604310198472,1343
35604310198741,2610
35604310198811,2529
35604310205074,2516
35604310202333,1237
35604310190315,1343
35604310195112,1637
35604310204584,1367
35604310195101,1823
35604310203696,2078
35604310200266,989
35604310201106,1114
35604310204422,1229
35604310201880,1237
35604310198380,1029
35604310204665,533
35604310204573,2744
35604310202823,939
35604310192091,939
35604310204890,3701
35604310201250,1418
35604310209086,2188
35604310208821,2130
35604310202974,1929
35604310198995,1910
35604310202182,1299
35604310196722,898
35604310202473,1808
35604310204105,2549
35604310212855,1498
35604310209742,1178
35604310199916,939
35604310202171,2416
35604310208191,1394
35604310199673,1299
35604310204234,412
35604310208740,2239
35604310211746,1212
35604310210254,1279
35604310202285,1180
35604310209683,2318
35604310208110,326
35604310201246,960
35604310208692,1205
35604310199706,939
35604310207141,1298
35604310204982,1104
35604310210571,1842
35604310209554,430
35604310202075,825
35604310208250,3261
35604310208320,3569
35604310208935,1474
35604310209484,1819
35604310202193,939
35604310209661,2206
35604310208902,1504
35604310208832,1033
35604310211374,1298
35604310208036,1253
35604310207535,1159
35604310203556,1546
35604310201596,2899
35604310203840,497
35604310204444,939
35604310205030,1582
35604310209926,1714
35604310209915,1714
35604310207675,2396
35604310209053,1885
35604310201504,969
35604310208364,1287
35604310208515,1441
35604310210394,1033
35604310208095,2097
35604310207664,1354
35604310209602,1677
35604310208655,2459
35604310211794,1749
35604310208843,1398
35604310208390,1084
35604310207152,998
35604310204956,1762
35604310204396,1120
35604310209845,1258
35604310208585,1287
35604310208412,1539
35604310209941,714
35604310208924,1432
35604310201036,4813
35604310202381,432
35604310208552,1045
35604310209532,352
35604310212940,1066
35604310209650,1149
35604310199161,893
35604310209462,550
35604310198833,1059
35604310209440,746
35604310209425,1456
35604310208471,999
35604310204912,1709
35604310210044,3019
35604310210593,1091
35604310207933,1427
35604310207756,1364
35604310208073,2018
35604310208014,1325
35604310208342,1812
35604310207815,1364
35604310207863,1714
35604310207922,1714
35604310209274,1166
35604310207782,1364
35604310207970,1325
35604310210081,1356
35604310211120,1746
35604310208762,1899
35604310209974,2292
35604310211212,1338
35604310207642,1450
35604310211363,1298
35604310209790,1104
35604310202661,812
35604310201110,1698
35604310209694,1155
35604310210291,2424
35604310210652,1210
35604310211341,1298
35604310207992,1166
35604310208504,913
35604310208423,1864
35604310202985,2599
35604310210136,929
35604310208891,1327
35604310208670,2568
35604310210545,631
35604310210501,219
35604310210221,2360
35604310208272,2019
35604310208714,2962
35604310198671,1059
35604310208121,1166
35604310208810,1084
35604310211433,3380
