AWB Number,Amount
35604310182162,3518
35604310184450,2079
35604310184612,1287
35604310180036,939
35604310181926,1524
35604310183304,1287
35604310187493,939
35604310184822,1529
35604310184730,1287
35604310182232,898
35604310184833,818
35604310161044,2971
35604310182825,1399
35604310186841,1539
35604310184881,1323
35604310161103,1836
35604310185426,1309
35604310184752,536
35604310187040,835
35604310178146,2329
35604310185710,987
35604310181263,879
35604310171570,1329
35604310173983,2538
35604310179292,939
35604310177693,1279
35604310181672,1050
35604310181856,901
35604310182501,1522
35604310151900,969
35604310182033,3610
35604310182055,939
35604310181941,939
35604310180902,1059
35604310182630,3673
35604310182442,934
35604310183352,610
35604310184494,2674
35604310179605,2191
35604310178706,3455
35604310181613,849
35604310181473,2061
35604310178393,1299
35604310180084,1272
35604310182011,903
35604310179852,4330
35604310180235,1616
35604310184892,1287
35604310180434,1517
35604310159132,1423
35604310181565,909
35604310184590,1549
35604310179760,1075
35604310179922,3569
35604310181845,2490
35604310181823,2490
35604310180110,1012
35604310180025,1234
35604310180143,2108
35604310181355,939
35604310182512,913
35604310182755,1434
35604310181171,2598
35604310166121,1206
35604310176013,1508
35604310159530,1538
35604310183492,1239
35604310182383,665
35604310173563,4097
35604310181366,1848
35604310186701,1310
35604310181882,964
35604310182851,2499
35604310181591,1482
35604310180596,1836
35604310184763,1434
35604310180493,1729
35604310184586,3915
35604310186815,1613
35604310184741,1180
35604310187655,1089
35604310180526,1085
35604310184925,4275
35604310184575,2409
35604310186465,1646
35604310183665,1389
35604310179782,1165
35604310184870,811
35604310181392,1011
35604310184446,1539
35604310181871,1317
35604310182431,1880
35604310181274,1588
35604310184100,798
35604310186594,1341
35604310182486,1389
35604310184796,1709
35604310179572,2416
35604310184660,1539
35604310187891,1199
35604310180600,2702
35604310180353,1014
35604310187740,1162
35604310185850,2079
35604310176105,581
35604310187305,2394
35604310183746,1824
35604310180563,1299
35604310179631,1722
35604310185286,1329
35604310181915,457
35604310188241,1343
35604310179620,2289
