AWB Number,Amount
35604310197680,1572
35604310198332,1399
35604310197676,1234
35604310201261,1279
35604310197654,1298
35604310191122,1488
35604310198343,1986
35604310196011,1379
35604310198936,1154
35604310200550,1929
35604310197783,1809
35604310201375,2548
35604310196965,2934
35604310202716,1059
35604310196265,1372
35604310202963,367
35604310198962,1608
35604310198376,3118
35604310197956,1152
35604310198855,1407
35604310197853,1608
35604310200465,1083
35604310199861,1059
35604310199986,1971
35604310200760,2612
35604310197514,787
35604310198170,1045
35604310197422,628
35604310197606,1287
35604310200594,901
35604310197536,1668
35604310200502,1015
35604310199500,945
35604310199640,2178
35604310197691,930
35604310198402,832
35604310199905,1585
35604310195016,1318
35604310200281,1119
35604310200491,1023
35604310199592,939
35604310198693,3534
35604310195834,1298
35604310196431,2053
35604310196324,2848
35604310196346,834
35604310194106,2377
35604310196593,1095
35604310200480,939
35604310194176,1381
35604310200233,2576
35604310198100,707
35604310197551,1122
35604310195053,1429
35604310196405,3159
35604310197820,961
35604310195436,666
35604310199146,2491
35604310197886,1257
35604310195193,1441
35604310197643,748
35604310195156,1241
35604310197993,1059
35604310197702,1372
35604310198365,607
35604310197735,834
35604310197573,835
35604310198262,939
35604310200056,1051
35604310199021,1929
35604310200163,1062
35604310197831,2037
35604310195565,1229
35604310198236,748
35604310195845,1298
35604310195171,1868
35604310195204,1298
35604310201434,930
35604310196313,381
35604310196836,1351
35604310197750,1729
35604310200222,1086
35604310196420,1709
35604310200852,1013
35604310190643,1114
35604310194972,2092
35604310203486,238
35604310200071,501
35604310204820,2736
35604310200771,1154
35604310195963,2425
35604310198225,939
35604310194180,1812
35604310192426,909
35604310200174,1119
35604310196173,798
35604310200454,3602
35604310196221,1427
35604310198214,939
35604310197562,1284
35604310197842,1376
35604310198192,991
35604310196254,4065
35604310196501,1140
35604310201003,1059
35604310204153,2250
35604310198726,2605
35604310199710,1147
35604310197142,903
35604310196276,1381
35604310197890,1059
35604310201585,1836
35604310198903,1170
35604310197772,1028
35604310197982,1249
35604310202274,1836
35604310199850,1836
35604310195786,2549
35604310197912,2326
35604310197934,3105
35604310199754,628
35604310196022,4133
35604310199216,803
35604310196092,1598
35604310198446,1056
35604310204702,898
35604310204411,1229
35604310199010,2589
35604310198391,1475
35604310198273,1470
35604310199150,1179
35604310201740,2031
35604310198041,1756
35604310198166,483
35604310198984,1608
35604310199113,1180
35604310196372,1441
35604310199721,3108
35604310199780,1114
35604310199743,3004
35604310199006,5425
35604310202215,1660
35604310199091,862
35604310199603,2289
35604310203501,1174
35604310198144,2455
35604310197971,2455
35604310198052,5220
35604310200060,2802
35604310200911,1366
35604310200336,1238
35604310197864,1299
35604310199662,1237
35604310202720,939
35604310197665,2739
35604310198612,1154
35604310198295,1681
35604310200115,1298
35604310198531,939
35604310197794,1729
35604310198951,1160
35604310202904,1059
35604310200270,627
35604310198413,1345
35604310199496,1356
35604310198096,352
35604310199581,1412
35604310199393,1043
35604310199345,508
35604310198575,939
35604310197816,1059
35604310201541,1816
35604310198004,1011
35604310201062,2202
35604310204680,1298
35604310196792,2593
35604310202764,939
35604310200734,987
35604310200620,1653
35604310198520,2178
35604310200130,2433
35604310200900,1333
35604310198564,1206
35604310200572,3192
35604310201795,2006
35604310204691,1298
35604310204341,1336
35604310200745,1066
35604310200211,1088
35604310201994,2573
35604310208876,1739
35604310202580,1532
35604310193465,2098
35604310199625,1533
35604310190584,2416
35604310191111,3471
35604310198030,2277
35604310198155,522
35604310197724,1191
35604310207944,1033
35604310200712,1066
35604310198730,446
35604310199953,2134
35604310200421,939
35604310198645,1729
35604310200653,1114
35604310202926,628
35604310203280,1059
35604310191026,3978
35604310199356,1092
35604310202952,1059
35604310200616,1066
35604310200944,1059
35604310208294,1084
35604310202845,1059
35604310208143,932
35604310202672,1836
35604310202834,2171
35604310200686,867
35604310201202,1494
35604310199522,1299
35604310202576,1950
35604310208261,1152
35604310200141,1298
35604310203033,1042
35604310200841,1506
35604310199135,1631
35604310199964,1599
35604310201294,1080
35604310200675,1077
35604310202311,1664
35604310201972,2123
35604310198774,3573
35604310201482,1205
35604310197234,1299
35604310202403,1722
35604310196442,4989
35604310200970,422
35604310200351,1081
35604310198553,939
35604310199975,2064
35604310202565,1038
35604310203081,1538
35604310203431,922
35604310198284,1372
35604310203022,1180
35604310200082,1299
35604310201714,2478
35604310202005,939
35604310204175,497
35604310204945,1323
35604310202591,939
35604310202156,939
35604310202252,628
35604310203324,1836
35604310202786,1299
35604310209591,62
35604310201681,1137
35604310200966,177
35604310198026,3207
