AWB Number,Amount
35604310409695,622
35604310418843,974
35604310416496,939
35604310419160,2987
35604310416404,1216
35604310418762,1480
35604310415472,2175
35604310406254,1441
35604310414901,879
35604310415413,1287
35604310417351,1239
35604310415391,1149
35604310415192,2876
35604310417211,1059
35604310419252,1186
35604310415601,1327
35604310418773,1014
35604310420361,1429
35604310415752,1548
35604310415354,974
35604310419075,1704
35604310419156,3
35604310418666,3
35604310418876,3
35604310420980,3
35604310418585,3
35604310417233,3
35604310420162,3
35604310420206,3
35604310420151,3
35604310420792,3
35604310420125,3
35604310421455,3
35604310420766,3
35604310420221,3
35604310420103,3
35604310420910,3
35604310420195,3
35604310420140,3
35604310420814,3
35604310420092,3
35604310421481,3
35604310416500,2409
35604310414621,1457
35604310416242,1025
35604310417255,2507
35604310413954,3124
35604310416614,416
35604310415240,1457
35604310419344,2086
35604310416533,1822
35604310406615,1980
35604310421956,1186
35604310414330,1457
35604310420022,1470
35604310411740,938
35604310395382,941
35604310422601,1939
35604310413766,1457
35604310418821,939
35604310414260,1388
35604310415063,2061
35604310415306,2746
35604310411320,1756
35604310416544,1901
35604310414190,1364
35604310414470,1130
35604310406814,1025
35604310413254,2156
35604310416511,1343
35604310415262,2276
35604310411924,1084
35604310415774,1059
35604310413862,1098
35604310418456,2545
35604310409522,1084
35604310411854,538
35604310414116,1643
35604310404703,2244
35604310412134,1522
35604310403071,1258
35604310414120,1084
35604310418784,1186
35604310409253,363
35604310414083,925
35604310406641,1388
35604310403410,1224
35604310407993,998
35604310421595,1234
35604310403642,1441
35604310421013,1479
35604310403491,1157
35604310419064,482
35604310414595,1351
35604310415343,1050
35604310409415,1084
35604310415800,1298
35604310413770,4117
35604310415450,969
35604310410314,1025
35604310413350,1084
35604310411541,1343
35604310409286,2481
35604310388780,628
35604310413744,3632
35604310415376,939
35604310411810,416
35604310401634,939
35604310414643,2030
35604310415365,918
35604310415155,4321
35604310408682,1441
35604310411972,1186
35604310406081,1980
35604310414282,1025
35604310394940,1130
35604310414271,1344
35604310414153,1581
35604310414761,671
35604310415542,852
35604310407842,799
35604310414584,1700
35604310413840,1952
35604310414164,3114
35604310415763,939
35604310413884,2097
35604310413851,974
35604310415811,1298
35604310415225,939
35604310416636,1808
35604310411666,1025
35604310404666,1539
35604310415214,2175
35604310414072,671
35604310412753,2201
35604310416054,1203
35604310414234,1025
35604310411423,1224
35604310416522,2175
35604310405160,3980
35604310414573,1060
35604310415435,1234
35604310415052,759
35604310415041,764
35604310409172,1055
35604310416850,898
35604310415170,1059
35604310413976,1084
35604310413696,1084
35604310414142,671
35604310415785,5915
35604310416231,879
35604310415273,1817
35604310413136,2175
35604310416441,1059
35604310413722,2034
35604310414131,1084
35604310417373,2061
35604310413906,898
35604310415251,2288
35604310413663,1434
35604310409905,944
35604310421573,939
35604310413910,1098
35604310420895,1939
35604310418832,1929
35604310403922,1084
35604310414256,1980
35604310413932,2245
35604310419355,939
35604310420486,2764
35604310415973,939
35604310406991,1372
35604310421562,1297
35604310414223,1025
35604310413895,1025
35604310419274,1504
35604310416091,939
35604310415332,1929
35604310417550,1593
35604310414562,1209
35604310419510,1059
35604310416474,1025
35604310416555,1179
35604310418740,1477
35604310420420,939
35604310416430,1818
35604310420394,1041
35604310411950,1372
35604310418644,811
35604310421326,818
35604310419322,1449
35604310418806,772
35604310418390,1234
35604310427136,1749
35604310419112,636
35604310418681,1438
35604310419182,1134
35604310415671,2349
35604310417292,628
35604310420431,819
35604310422111,1689
35604310416916,1299
35604310420335,3
35604310420630,939
35604310421536,939
35604310421411,2581
35604310413943,969
35604310418994,1173
35604310418795,1059
35604310422446,3
35604310422450,3
35604310418924,3
35604310413615,1441
35604310416161,1059
35604310420615,939
35604310416393,1059
35604310420976,748
35604310416146,1059
35604310420840,1327
35604310414050,2946
35604310423091,1939
35604310417620,1593
35604310418552,1981
35604310421315,943
35604310420921,834
35604310414105,1602
35604310417491,1929
35604310420906,1059
35604310420696,2581
35604310419742,1033
35604310419263,1337
35604310418950,1688
35604310408940,1621
35604310420733,1599
35604310426101,939
35604310415236,2169
35604310421772,1186
35604310416651,1234
35604310419230,1901
35604310415984,712
35604310419366,671
35604310406571,3044
35604310406674,2746
35604310419834,2725
35604310420674,2048
35604310421444,2581
35604310418305,1422
35604310421256,939
35604310420243,915
35604310418320,1059
35604310418574,1894
35604310421396,1059
35604310427420,1179
35604310416710,1480
35604310421470,2283
35604310420755,939
35604310425806,3948
35604310403734,1368
35604310422715,1287
35604310418504,391
35604310422402,4756
35604310422531,939
35604310419300,1059
35604310421783,5071
35604310421794,1186
35604310425526,2398
