AWB Number,Amount
153689150000983,867
153689150003313,1059
153689150003095,935
153689150001554,2072
153689150001285,230
153689150002411,2332
153689150002073,1485
153689150001777,1929
153689150000007,1569
153689150000985,1808
153689150002729,2396
153689150003767,939
153689150002656,1929
153689150001440,3384
153689150003291,3384
153689150000320,3384
153689150001235,3384
153689150000076,1144
153689150001322,3384
153689150003272,3384
153689150002830,1341
153689150003906,3384
153689150003419,3384
153689150003695,3384
153689150000250,3384
153689150003130,1071
153689150000279,1959
153689150000150,1719
153689150001033,1929
153689150002224,2109
153689150003435,1929
153689150001651,485
153689150000317,9489
153689150001975,1059
153689150000041,927
153689150001256,969
153689150003689,1917
153689150002654,1299
153689150002946,1603
153689150000981,1929
153689150002118,2634
153689150000624,3518
153689150002169,1394
153689150003826,388
153689150003605,1304
153689150003486,1304
153689150000674,3384
153689150002942,1441
153689150003157,1100
153689150000775,4636
153689150001402,830
153689150003404,935
153689150003639,1084
153689150001000,1696
153689150001016,1696
153689150003873,1696
153689150003912,1698
153689150001491,935
153689150002854,2135
153689150001427,2165
153689150003692,999
153689150003457,969
153689150001303,935
153689150001992,1299
153689150003373,2926
153689150000924,4200
153689150002254,340
153689150001483,4135
153689150001828,1672
153689150003176,1704
153689150003921,8960
153689150002386,889
153689150001474,1836
153689150002429,2007
153689150002891,2176
153689150003520,1074
153689150003182,969
153689150001102,969
153689150001103,1868
153689150001480,1718
153689150002948,1668
153689150001809,2165
153689150001028,999
153689150002294,1710
153689150001392,935
153689150000807,1800
153689150000208,2836
153689150004021,748
153689150002129,1299
153689150000290,1276
153689150000480,2659
