AWB Number,Amount
35604310067771,935
35604310068246,1590
35604310067152,188
35604310069473,1309
35604310066216,1696
35604310068773,935
35604310059334,2673
35604310064665,2099
35604310067734,628
35604310069506,176
35604310067944,1445
35604310064676,2058
35604310069495,293
35604310069742,1348
35604310068084,1467
35604310069591,2060
35604310069661,1445
35604310069565,2630
35604310069241,2165
35604310069672,1696
35604310061994,1641
35604310068670,999
35604310068692,747
35604310062425,2409
35604310067244,935
35604310067841,2239
35604310069775,510
35604310062156,1145
35604310069333,429
35604310069370,830
35604310063232,890
35604310058306,999
35604310067760,1362
35604310062123,1076
35604310069786,402
