AWB Number,Amount
35604310169525,1025
35604310168206,1025
35604310176212,1929
35604310177623,1299
35604310177575,1485
35604310181182,1393
35604310177973,1929
35604310164894,2538
35604310157430,1270
35604310164872,1441
35604310177365,2504
35604310159423,908
35604310140210,5485
35604310140545,847
35604310181985,1298
35604310182140,388
35604310177413,1616
35604310177656,1344
35604310177531,1140
35604310176164,1247
35604310178080,939
35604310177870,1210
35604310163273,1529
35604310163726,2582
35604310177726,1059
35604310165211,3773
35604310164721,2095
35604310176083,891
35604310179896,939
35604310177715,1597
35604310161405,1088
35604310174075,3404
35604310177450,1136
35604310164931,2812
35604310180250,1383
35604310173806,1644
35604310165491,2452
35604310165410,104
35604310165480,2452
35604310175792,1599
35604310164231,3573
35604310160904,3573
35604310159600,1125
35604310179804,2089
35604310182534,1231
35604310169853,969
35604310176271,671
35604310163181,1059
35604310176234,1424
35604310177424,1154
35604310176735,2232
35604310163310,2168
35604310177995,1215
35604310141842,1627
35604310177855,1585
35604310176912,3615
35604310177660,1298
35604310177343,939
35604310169433,1060
35604310182770,762
35604310159670,1504
35604310177391,1599
35604310159412,772
35604310176050,2527
35604310175781,696
35604310174775,789
35604310163026,1287
35604310174731,1736
35604310176190,2373
35604310177866,1152
35604310177483,2508
35604310171415,1226
35604310157953,939
35604310176175,1424
35604310174112,601
35604310159703,1419
35604310166165,1251
35604310165620,960
35604310159666,2436
35604310176536,1018
35604310150426,2093
35604310177376,1026
35604310174090,909
35604310175615,1938
35604310159036,3199
35604310171706,1287
35604310175626,1232
35604310159213,1950
35604310177321,2169
35604310159493,510
35604310159482,1593
35604310172104,829
35604310166143,2799
35604310177284,755
35604310169890,969
35604310177903,754
35604310181834,1100
35604310164404,1008
35604310159692,1059
35604310177494,2088
35604310164905,1441
35604310172174,939
35604310159736,5099
35604310169901,909
35604310157231,929
35604310176072,979
35604310166482,3472
35604310180320,939
35604310175965,1298
35604310159681,1713
35604310159434,1287
35604310175604,1081
35604310176116,931
35604310140814,1220
35604310180180,1193
35604310180132,1299
35604310177516,1059
35604310176035,2575
35604310159504,1150
35604310159515,798
35604310176901,1059
35604310174565,1044
35604310174160,1234
35604310176046,1287
35604310177446,917
35604310177155,2239
35604310180342,1689
35604310164636,1043
35604310178102,1198
35604310166106,508
35604310177435,798
35604310169514,2026
35604310179874,1637
35604310150430,879
35604310179303,2616
35604310164570,1066
35604310171916,1929
35604310175803,2311
35604310177612,991
35604310166471,2151
35604310177844,939
35604310175313,828
35604310177645,1395
35604310179723,1299
35604310150496,2559
35604310178006,748
35604310176783,964
35604310165572,2946
35604310182022,1498
35604310180445,939
35604310177634,1434
35604310176131,2904
35604310165922,1380
35604310177273,1196
35604310172233,3133
35604310176470,696
35604310177951,1114
35604310165550,2812
35604310181300,1299
35604310174904,2568
35604310181812,2532
35604310178603,1059
35604310181521,1034
35604310177601,1100
35604310178135,789
35604310180316,917
35604310179686,429
35604310181333,1459
35604310180246,991
35604310179244,438
35604310179885,1434
35604310180213,1366
35604310181484,759
35604310163450,1988
35604310165745,1434
35604310161335,1569
35604310161372,1059
35604310163704,627
35604310179126,2490
35604310179104,2490
35604310179992,486
35604310183422,1900
35604310180364,3910
35604310180375,3524
35604310160871,3218
35604310180051,1539
35604310181580,469
35604310180386,2624
35604310182000,2481
35604310177730,3005
35604310180305,939
35604310180202,1059
35604310180014,879
35604310161932,4464
35604310179955,1282
35604310177251,1165
35604310181495,909
35604310174182,1060
35604310179734,1059
35604310174053,2389
35604310164916,2538
35604310181112,939
35604310181193,1299
35604310180073,1059
35604310165686,2260
35604310161490,468
35604310174613,6708
35604310181436,935
35604310163225,1389
35604310182302,408
35604310161092,772
35604310176444,1081
35604310180390,1237
35604310178695,1929
35604310176223,1312
35604310179583,1011
35604310180294,1259
35604310159655,2238
35604310179056,2499
35604310181554,500
35604310180191,1820
35604310177354,1593
35604310165594,2158
35604310181451,1067
35604310180003,939
35604310164220,1460
35604310182276,1796
35604310178430,950
35604310177402,2931
35604310159714,3449
35604310164286,1134
35604310176061,878
35604310181801,771
35604310164695,4177
35604310180106,2048
35604310182685,2234
35604310163166,1713
35604310177704,1279
35604310160786,1929
35604310181543,627
35604310179863,1114
35604310181053,1059
35604310177332,1836
35604310163155,2571
35604310176120,3159
35604310181285,1257
35604310181344,2438
35604310180574,1434
35604310180121,1059
35604310176142,1206
35604310174591,1309
35604310175814,1059
35604310180515,1513
35604310181775,939
35604310183385,1219
35604310161512,1299
35604310177914,933
35604310179395,1998
35604310182711,1749
35604310180165,2271
35604310181425,2435
35604310182781,1593
35604310180460,939
35604310182803,2297
35604310180585,5177
35604310182136,1059
35604310163100,1836
35604310182092,598
35604310171743,1441
35604310179653,1038
35604310181963,2181
35604310181683,1146
35604310178010,1114
35604310180261,1152
35604310180412,1848
35604310180154,1593
35604310177505,1113
35604310181322,1059
35604310179981,592
35604310180224,1713
35604310182324,1059
35604310181440,628
35604310181462,526
35604310179911,1814
35604310181156,63
35604310178474,20
35604310165826,2188
35604310182906,1226
35604310180471,1069
35604310178065,2375
35604310182873,696
35604310181764,850
35604310158771,772
35604310158653,772
35604310179815,964
35604310182464,2169
35604310178673,1916
35604310180095,2110
35604310181381,991
35604310182254,1958
35604310172012,1441
35604310175755,1599
35604310180950,1913
35604310183993,1627
35604310181974,1237
35604310174403,2293
35604310181506,909
35604310177542,1104
35604310175954,1298
35604310183363,628
35604310173736,968
35604310182943,1030
35604310185430,1309
35604310179771,1929
35604310182044,1836
35604310181252,1216
35604310183293,1098
35604310181086,905
35604310181370,1179
35604310181661,874
