AWB Number,Amount
35604310374393,2253
35604310367754,879
35604310369434,1233
35604310376762,1438
35604310366531,1059
35604310374640,628
35604310371836,340
35604310372606,1928
35604310355132,1084
35604310380214,1179
35604310376526,1901
35604310380273,671
35604310374286,448
35604310371965,1449
35604310354303,582
35604310367916,1598
35604310374765,1590
35604310370230,1384
35604310377742,2255
35604310368163,761
35604310378604,999
35604310356646,1343
35604310375126,1798
35604310357254,2991
35604310367721,1025
35604310382163,1929
35604310367743,787
35604310382756,1929
35604310354896,1049
35604310369504,2038
35604310368874,2548
35604310370974,1343
35604310369622,1087
35604310382480,861
35604310374253,387
35604310374780,1059
35604310371324,2048
35604310366741,489
35604310368141,538
35604310377521,1216
35604310372934,1696
35604310366520,1059
35604310356565,1049
35604310378560,448
35604310350335,1108
35604310375900,1454
35604310357335,2028
35604310356554,1049
35604310370646,1683
35604310375325,974
35604310366612,448
35604310371092,1953
35604310376725,2529
35604310352494,2196
35604310355784,1792
35604310356506,1006
35604310377252,1
35604310382023,2010
35604310370580,5973
35604310375480,2580
35604310367920,6350
35604310376121,2585
35604310374474,1344
35604310366391,793
35604310366424,1089
35604310367216,4241
35604310371313,1759
35604310366516,2615
35604310371932,879
35604310370683,1260
35604310373170,1599
35604310374360,448
35604310352332,1714
35604310383084,1059
35604310366623,1343
35604310354163,2349
35604310373236,998
35604310369493,2367
35604310373925,748
35604310375266,999
35604310373122,998
35604310373181,2572
35604310371991,1464
35604310356882,2249
35604310343733,1025
35604310356403,3340
35604310355983,290
35604310372632,1257
35604310356263,1793
35604310369633,1216
35604310356856,1049
35604310356532,1049
35604310354266,2699
35604310369471,1343
35604310374625,1297
35604310355051,1664
35604310368491,757
35604310374426,1074
35604310376246,758
35604310373870,448
35604310354826,3253
35604310367824,482
35604310369423,5558
35604310355526,2124
35604310356930,4458
35604310355202,393
35604310367990,2004
35604310371000,838
35604310376316,352
35604310376320,551
35604310376294,478
35604310376386,3481
35604310375093,1098
35604310355014,5575
35604310378022,1059
35604310355504,3608
35604310356333,4708
35604310374452,2314
35604310356591,3009
35604310356613,2028
35604310370661,482
35604310355445,1834
35604310367231,298
35604310375163,1098
35604310380295,3365
35604310377230,2829
35604310374415,1216
35604310376375,819
35604310375524,1068
35604310351201,1298
35604310376832,2299
35604310373822,448
35604310381640,2574
35604310374021,999
35604310372912,1312
35604310377193,1959
35604310382815,1239
35604310370370,1088
35604310375605,867
35604310370322,867
35604310369095,2468
35604310371744,649
