AWB Number,Amount
35604310129533,952
35604310128354,1159
35604310130093,1800
35604310129334,1239
35604310129636,1737
35604310128785,628
35604310130605,1402
35604310129566,821
35604310129415,822
35604310130620,1604
35604310128553,999
35604310128122,2859
35604310128262,1805
35604310126335,2769
35604310128085,1217
35604310129625,1953
35604310130281,935
35604310128166,2357
35604310128800,3486
35604310128063,999
35604310128096,999
35604310128236,594
35604310128225,969
35604310128133,144
35604310129883,2772
35604310128936,1836
35604310130314,2011
35604310129371,939
35604310129905,3650
35604310130163,1968
35604310129916,3436
35604310130233,1555
35604310129124,1038
35604310130970,1369
35604310130535,1696
35604310129920,3650
35604310130572,999
35604310129032,999
35604310128192,594
35604310129684,999
35604310129091,1449
35604310129430,2478
35604310129183,867
35604310129231,3529
35604310131364,1428
35604310128925,1836
35604310130616,999
35604310130631,999
35604310130502,1644
35604310129404,1059
35604310129732,3691
35604310128763,5299
35604310131320,3218
35604310128730,1044
35604310129894,1696
35604310130292,3519
35604310130524,2521
35604310129076,1059
35604310128531,1059
35604310130196,3297
35604310130325,1350
35604310130911,628
35604310130303,2772
35604310130336,904
35604310129743,1212
35604310129603,1539
35604310129776,1801
35604310131596,832
35604310129640,1044
35604310130830,1836
35604310129264,277
35604310130955,1674
35604310129765,1170
35604310128612,1015
35604310129706,2240
35604310129146,1779
35604310129006,1722
35604310131025,772
