AWB Number,Amount
80786119956,881
77835984763,1220
80786316295,999
77837357511,2394
77837601951,2265
80787567173,1793
80787569063,881
77837882286,999
80787615333,1805
80787639262,1928
77837922186,881
80787686291,2869
80787799411,1217
80787801570,2703
80787807074,3539
80787807402,1268
77838102602,2544
80787810445,728
80787821380,1181
80787832403,1805
77838150014,2370
80788148125,703
80788171052,2067
80788191050,2408
80788193732,3377
77838746845,3673
77838757824,2360
77838763225,2360
80788262262,1893
77838820290,3513
77838896936,1805
80788377471,1778
80788393593,1260
80788415234,568
77838967511,1965
77838991812,2224
77838994461,1299
77839000105,2067
80788466205,957
80788534540,1044
80788557625,856
80788559740,1008
80788561420,1059
80788587110,1299
80788678176,1380
80788697065,1914
80788701276,1237
80788701464,4036
80788703612,1299
80788703704,1778
80788703796,1532
80788708932,2332
80788709072,1467
80788709330,1778
80788710446,939
77839262922,2199
80788823032,939
77839470450,372
80789025575,628
77839705705,2092
80789392003,1460
80789401862,1954
80789434880,1540
80789468384,939
80789486750,1896
80789565544,939
80789569243,1857
80789586452,3602
80789611755,2434
80789618103,903
80789631506,1175
80789682621,478
80789771101,2289
80789779652,1166
80789782415,939
77840937683,2762
80789809936,1150
80789822606,1059
77840960072,2897
80789828055,939
80789829363,1155
80789832793,2439
80789835825,1044
80789841786,819
80789847482,939
80789862845,1059
80789868600,939
77841010634,1929
80789880312,939
77841020596,939
80789958200,1693
80789994950,1836
80789997256,1299
80790002650,1237
80790004094,2043
80790008740,4963
77841135083,890
80790015913,1059
80790039503,804
80790326665,2841
77841808494,1087
77841831126,1145
80790735745,1941
80790777303,935
80790780490,1696
77842271161,1145
80790873122,2428
80790887855,2473
80790903524,3306
77842343073,935
80790934652,1591
80791033610,1128
80791650004,830
