AWB Number,Amount
35604310334526,1347
35604310332846,1685
35604310334994,1059
35604310326336,582
35604310326340,2051
35604310330341,939
35604310327563,879
35604310335720,2071
35604310336335,988
35604310331564,1171
35604310320740,2103
35604310333723,2709
35604310333745,1571
35604310335764,2066
35604310331623,352
35604310327095,2587
35604310335296,1299
35604310333804,1096
35604310328694,4995
35604310326760,1033
35604310326815,1599
35604310335241,795
35604310335403,1415
35604310321591,1216
35604310332964,1842
35604310332640,1808
35604310326605,628
35604310327062,7388
35604310333093,795
35604310338505,448
35604310331903,2159
35604310330120,903
35604310326653,11981
35604310326675,9458
35604310333605,1299
35604310303074,1567
35604310317564,2274
35604310317553,669
35604310326594,1599
35604310326200,3969
35604310332883,1096
35604310335694,4065
35604310327703,997
35604310327692,1179
35604310337050,2072
35604310303214,1441
35604310328075,1096
35604310326723,2035
35604310337326,4475
35604310329825,803
35604310335425,855
35604310316540,3343
35604310327891,1096
35604310334972,795
35604310329291,1391
35604310336803,2874
35604310327585,2958
35604310327316,1059
35604310320563,2679
35604310327961,3310
35604310336685,2
35604310330886,920
35604310316223,667
35604310337551,1735
35604310328160,1224
35604310329055,1622
35604310328742,694
35604310326830,1418
35604310321602,1949
35604310326406,1774
35604310320515,4828
35604310320876,1059
35604310326896,1299
35604310336733,2
35604310330175,531
35604310325850,2123
35604310327294,791
35604310337536,1025
35604310327541,961
35604310327320,1328
35604310327633,348
35604310338564,3
35604310335731,1241
35604310335672,517
35604310328403,4771
35604310331892,1347
35604310317612,1343
35604310321414,1234
35604310329862,628
35604310305793,1070
35604310335215,1923
35604310328031,1929
35604310336884,795
35604310333351,1520
35604310327073,1032
35604310327084,657
35604310327025,3842
35604310329475,1067
35604310329895,1396
35604310328156,939
35604310321090,1299
35604310329722,1059
35604310333222,1343
35604310326071,1059
35604310334946,692
35604310335123,1059
35604310336545,2
35604310328952,939
35604310327946,2123
35604310325393,448
35604310335252,1913
35604310327611,1023
35604310332054,1089
35604310325415,1152
35604310332920,1238
35604310320924,1476
35604310318253,482
35604310331155,1520
35604310329711,4406
35604310336781,2
35604310317671,1367
35604310332695,769
35604310310144,2366
35604310309444,4912
35604310329626,883
35604310319760,1929
35604310326546,1539
35604310316724,1343
35604310325905,628
35604310326642,699
35604310329501,819
35604310326616,1569
35604310330256,1622
35604310322464,3781
35604310337374,1869
35604310329361,1915
35604310332065,3254
35604310332522,2169
35604310335112,1697
35604310338391,1196
35604310334961,1070
35604310333793,795
35604310330330,795
35604310335016,2022
35604310336674,2
35604310335882,1025
35604310319616,1343
35604310334563,1004
35604310332485,795
35604310327644,1046
35604310340885,888
35604310329346,797
35604310335134,1198
35604310327106,247
35604310333561,2504
35604310340675,896
35604310333885,1929
35604310337433,1086
35604310335042,3174
35604310328005,980
35604310338903,3
35604310337013,611
35604310338612,3
35604310336593,2
35604310338800,3
35604310336722,2
35604310336582,2
35604310338855,3
35604310338973,2
35604310338951,3
35604310338833,3
35604310333255,1096
35604310336372,1678
35604310337890,1622
35604310335075,10064
35604310329840,2211
35604310333045,4176
35604310326314,1372
35604310338516,2549
35604310332975,2108
35604310330761,879
35604310337455,1272
35604310328204,1228
35604310333432,1923
35604310335064,1092
35604310338354,432
35604310330956,2509
35604310333152,1599
35604310331262,1344
35604310338866,3
35604310338936,3
35604310336523,2
35604310331995,416
35604310332006,1932
35604310331601,1370
35604310332032,795
35604310330536,993
35604310338450,498
35604310330945,1095
35604310338435,538
35604310315346,1367
35604310332905,2299
35604310339393,1298
35604310328182,1343
35604310310656,1343
35604310338310,1004
35604310338295,467
35604310333395,2102
35604310334121,1853
35604310334176,1736
35604310327994,778
35604310338461,1420
35604310328016,1059
35604310333620,2195
35604310330046,1929
35604310326082,348
35604310334935,1569
35604310337411,628
35604310342871,2122
35604310335086,2622
35604310335204,2583
35604310333491,2750
35604310316256,1299
35604310333126,628
35604310339824,2040
35604310340782,795
35604310342694,855
35604310337164,624
35604310333384,2899
35604310338483,1622
35604310328090,1929
35604310336291,968
35604310333686,920
35604310330061,896
35604310322033,1981
35604310329641,2497
35604310335274,3201
35604310329851,1344
35604310330024,1819
35604310337385,1089
35604310325975,2877
35604310335355,896
35604310332021,2936
35604310335506,460
35604310332076,2073
35604310329836,901
35604310337352,1895
35604310333476,3000
35604310334482,1229
35604310331925,2220
35604310329906,1095
35604310340454,448
35604310342366,394
35604310334320,1398
35604310330035,939
35604310334073,1788
35604310342285,579
35604310332603,2953
35604310327235,747
35604310334294,939
35604310331774,1735
35604310335716,1695
35604310331074,1598
35604310339135,830
35604310328436,1267
35604310330993,1938
35604310315350,991
35604310333012,795
35604310315873,990
35604310333756,1622
35604310332990,2122
35604310334261,3166
35604310330750,1096
35604310330971,1674
35604310335451,708
35604310336980,1578
35604310317645,1343
35604310336571,2
35604310338844,3
35604310337120,2
35604310338096,2
35604310338122,2
35604310336652,2
35604310337186,1299
35604310328731,1598
35604310331531,1822
35604310325286,279
35604310335823,2
35604310336560,2
35604310338284,2
35604310338870,3
35604310338251,2
35604310338225,2
35604310338192,2
35604310338166,2
35604310338133,2
35604310336663,2
35604310336766,2
35604310339021,2
35604310336641,2
35604310336604,2
35604310336615,2
35604310338553,3
35604310336792,2
35604310338962,2
35604310338170,2
35604310336626,2
35604310338203,2
35604310338634,3
35604310336512,2
35604310338111,2
35604310336770,2
35604310338052,2
35604310338892,3
35604310338542,3
35604310338811,3
35604310338262,2
35604310336711,2
35604310338822,3
35604310338240,2
35604310337190,1344
35604310338063,2
35604310338984,2
35604310338144,2
35604310336630,2
35604310339032,2
35604310338995,2
35604310338085,2
35604310336755,2
35604310339043,2
35604310338181,2
35604310338940,3
35604310338586,3
35604310336700,2
35604310330212,4552
35604310329744,795
35604310341670,2715
35604310337363,1511
35604310327596,462
35604310330691,2121
35604310332533,1197
35604310335145,1161
35604310335624,795
35604310334224,197
35604310331844,3018
35604310331586,2883
35604310331612,4419
35604310328521,1170
