AWB Number,Amount
35604310456153,2454
35604310453644,1049
35604310462475,2
35604310462486,2
35604310462464,2
35604310452141,1059
35604310455151,2600
35604310456330,297
35604310457343,2213
35604310456853,3573
35604310463304,922
35604310450483,207
35604310463282,447
35604310459211,1199
35604310457483,2547
35604310456190,1208
35604310457435,821
35604310456492,939
35604310456606,939
35604310455571,3569
35604310452701,1424
35604310454462,2264
35604310458102,509
35604310463363,1602
35604310452653,1307
35604310453482,558
35604310462140,2
35604310457601,1015
35604310463470,447
35604310456794,853
35604310453832,1906
35604310459325,2048
35604310459292,1059
35604310454285,2383
35604310457575,2042
35604310463293,922
35604310463341,1457
35604310463223,1388
35604310458496,922
35604310452712,922
35604310455630,1299
35604310456945,1682
35604310463131,922
35604310453913,939
35604310455700,2289
35604310456175,772
35604310472356,894
35604310463326,587
35604310456186,671
35604310464251,4244
35604310457391,922
35604310462943,6373
35604310463794,1239
35604310460681,947
35604310463035,922
35604310464376,1774
35604310463271,968
35604310456960,1423
35604310457203,622
35604310453445,827
35604310456201,2229
35604310458894,1744
35604310454893,974
35604310469011,794
35604310469221,2635
35604310463584,969
35604310464321,1059
35604310458953,1869
35604310455243,1027
35604310457866,591
35604310463002,922
35604310458802,2197
35604310462136,1059
35604310452550,3878
35604310456890,1530
35604310466896,1729
35604310466804,960
35604310464472,894
35604310455431,2397
35604310464284,706
35604310453681,1025
35604310463805,969
35604310453530,2333
35604310452115,1607
35604310463595,1093
35604310456923,1059
35604310467865,1373
35604310462523,1990
35604310456105,912
35604310456046,701
35604310452185,772
35604310463816,969
35604310453515,1372
35604310463396,1193
35604310455980,1234
35604310455976,876
35604310464483,278
35604310463536,2359
35604310463315,912
35604310467445,1378
35604310473922,6484
35604310474003,2761
35604310464365,470
35604310462453,1059
35604310474810,1119
35604310463433,922
35604310463735,922
35604310462545,2736
35604310469792,393
35604310467003,627
35604310467036,609
35604310467084,609
35604310474740,1094
35604310462512,1981
35604310462501,2042
35604310466966,4268
35604310463514,1335
