AWB Number,Amount
35604310234242,590
35604310234275,998
35604310228631,1018
35604310234555,2654
35604310235933,1121
35604310230613,1296
35604310230786,898
35604310230790,1298
35604310228760,56
35604310230226,1085
35604310235196,416
35604310231486,1025
35604310229014,1257
35604310221222,2630
35604310230403,1729
35604310229224,2010
35604310228071,2209
35604310226623,610
35604310228675,1097
35604310226240,104
35604310228642,2840
35604310229541,6568
35604310227850,1364
35604310229025,1239
35604310230705,751
35604310231324,592
35604310234010,110
35604310228222,2102
35604310230160,769
35604310221314,1833
35604310234382,2868
35604310229423,753
35604310229036,1114
35604310228572,2778
35604310226660,646
35604310229644,988
35604310227415,1074
35604310227776,2215
35604310226564,964
35604310230624,1025
35604310229040,4585
35604310230005,1343
35604310231372,416
35604310230171,878
35604310228141,787
35604310234614,1769
35604310234371,1158
35604310234566,1158
35604310234286,1298
35604310234021,1472
35604310229132,1059
35604310230053,8650
35604310234161,1506
35604310230123,2119
35604310232783,1298
35604310235653,1108
35604310229331,2597
35604310227872,1514
35604310228605,1119
35604310229213,1299
35604310227533,362
35604310229460,1012
35604310231140,961
35604310228502,630
35604310234183,1326
35604310232853,1298
35604310232540,918
35604310228513,1479
35604310231280,1121
35604310229375,1059
35604310235605,4135
35604310236331,792
35604310234054,1077
35604310230355,2012
35604310235023,1448
35604310230381,1564
35604310229692,5115
35604310229235,873
35604310230182,4646
35604310229176,4392
35604310233870,1545
35604310228804,961
35604310228476,869
35604310227356,1186
35604310229681,1066
35604310234570,187
35604310235723,800
35604310235922,983
35604310232691,1298
35604310234216,1104
35604310235093,1226
35604310228491,874
35604310236390,2022
35604310228664,2598
35604310229202,1713
35604310236482,1138
35604310235211,2467
35604310232632,1441
35604310231302,3094
35604310227360,1152
35604310235620,406
35604310231276,1077
