AWB Number,Amount
DKTGO-3484943034,582
DKTGO-7614331769,473
DKTGO-4307931227,459
DKTGO-4013537974,543
DKTGO-3978655215,843.3
DKTGO-4790791448,515.85
DKTGO-4906806426,478
DKTGO-1627973546,478
DKTGO-2552486575,459
DKTGO-1536032835,464
DKTGO-0162162548,533.9
DKTGO-7105114885,457
DKTGO-3851930867,459
DKTGO-2081238837,478
DKTGO-8316915361,562
DKTGO-3569885930,565
DKTGO-2189248025,515
DKTGO-3596337809,515
DKTGO-3061491741,459
DKTGO-5932953430,918
DKTGO-1887377741,487
DKTGO-3212495713,515.85
DKTGO-0674662806,478
DKTGO-3215726660,421
DKTGO-6899334178,936
DKTGO-3525082817,543
DKTGO-9577164958,515.85
DKTGO-0278385872,728.1
DKTGO-4920586160,543
DKTGO-1469233113,562
DKTGO-3913654084,515.85
DKTGO-8435573758,464
DKTGO-6742873526,543
DKTGO-3893746907,515.85
DKTGO-4691545649,478
DKTGO-1533524121,478
DKTGO-2160259927,478
DKTGO-9499359993,801
DKTGO-4531524761,758.7
DKTGO-7441147521,459
DKTGO-9216176238,421
DKTGO-7559836008,515.85
DKTGO-5016350600,478
DKTGO-5748706464,515.85
DKTGO-9357089952,459
DKTGO-0103113913,826.2
DKTGO-1440097154,1086
DKTGO-8080042045,459
DKTGO-5708286059,478
DKTGO-4059552927,459
DKTGO-0841782962,459
DKTGO-4249580974,478
DKTGO-0197692580,543
DKTGO-4972033491,543
DKTGO-8658805847,489.25
DKTGO-3775065093,478
DKTGO-2798885248,515.85
DKTGO-4350754934,1086
DKTGO-8602204727,800.85
DKTGO-3773043040,478
DKTGO-2113734495,543
DKTGO-4084127676,543
DKTGO-7786787526,478
DKTGO-0489112287,543
DKTGO-6832307564,421
DKTGO-7277285836,908.2
DKTGO-7688249874,515.85
DKTGO-9509736128,459
DKTGO-3624317035,459
DKTGO-8775331429,478
DKTGO-3861618767,1040
DKTGO-5332492541,1754.65
DKTGO-5846742707,515
DKTGO-1437031773,1086
DKTGO-6696756727,1031.7
DKTGO-9258007078,543
DKTGO-4857204449,800.85
