AWB Number,Amount
153689150002535,999
153689150001022,1412
153689150002378,881
153689150002014,999
153689150002424,999
153689150002345,939
153689150003036,1441
153689150003501,1380
153689150000903,1911
153689150000446,939
153689150003496,1059
153689150003788,1237
153689150002489,1092
153689150000884,1836
153689150000609,628
153689150003037,939
153689150004050,2791
153689150001913,2562
153689150002355,1893
153689150003857,1299
153689150001843,1237
153689150001163,2522
153689150001030,939
153689150002404,2769
153689150003423,1569
153689150003956,748
153689150003657,2169
153689150001616,1266
153689150000893,1304
153689150001370,3189
153689150001635,2168
153689150002142,2188
153689150002376,2283
153689150002950,939
153689150002563,717
153689150001226,2309
153689150002047,1749
153689150002093,1963
153689150001178,3693
153689150003570,1237
153689150003945,939
153689150001618,939
153689150001834,1508
153689150000399,2094
153689150002984,2111
153689150002664,1929
153689150001327,1115
153689150002385,4361
153689150003655,939
153689150003753,2469
153689150001563,4415
153689150000463,4415
153689150003097,1234
153689150002248,1299
153689150002471,993
153689150000792,2980
153689150000687,3983
153689150001242,969
153689150002620,2341
153689150000920,1095
153689150001900,847
153689150000549,881
153689150002896,934
153689150000616,847
153689150002967,881
153689150001190,618
153689150000132,2869
153689150003936,461
153689150004017,1958
153689150002794,969
153689150001760,1266
153689150002021,1174
153689150000759,626
153689150003164,969
153689150000782,999
153689150001008,3915
153689150003027,2469
153689150003240,3915
153689150000890,883
153689150000844,1722
153689150003498,2841
153689150003733,969
153689150003777,1805
153689150003084,1709
153689150003979,1244
153689150002758,3915
153689150003908,3915
153689150000453,3915
153689150002176,1869
153689150003596,594
153689150001213,1105
153689150000398,100
153689150003891,3696
