AWB Number,Amount
35604310135295,1155
35604310135155,868
35604310135483,1694
35604310135704,989
35604310134234,909
35604310138666,1769
35604310135892,4632
35604310135085,1351
35604310135052,2844
35604310135306,1107
35604310135741,868
35604310138246,1348
35604310134890,1965
35604310134245,1311
35604310134024,856
35604310135225,1304
35604310131530,1114
35604310137734,1226
35604310136286,1783
35604310134260,1191
35604310135192,2027
35604310135376,3348
35604310131375,2919
35604310131353,2079
35604310137480,1089
35604310134761,939
35604310137340,1089
35604310138655,768
35604310134433,1738
35604310136835,1905
35604310136780,1004
35604310139075,3219
35604310139576,1299
35604310131423,1299
35604310133976,1888
35604310131526,798
35604310131342,1179
35604310133593,2439
35604310132790,2718
35604310137955,1032
35604310133711,931
35604310131471,3909
35604310139720,1299
35604310135715,2811
35604310135730,3265
35604310137874,1908
35604310139193,1287
35604310139053,1198
35604310136080,1272
35604310137686,1540
35604310139915,2030
35604310136102,4262
35604310137933,1718
35604310138386,1331
35604310134691,962
35604310138762,1284
35604310139635,1059
35604310134864,1509
35604310139871,1659
35604310137351,1449
35604310137384,836
35604310137885,1651
35604310135520,2528
