AWB Number,Amount
77979783280,998
77979785612,1298
77981306465,998
77984059985,1448
77984066193,1298
77984094215,1398
77984097203,1298
77984107751,1298
77981325855,1298
77981934866,1084
77984052930,990
77987143706,1298
77987151955,1198
77987155864,1590
77988722184,1099
77989960565,990
77993505796,2097
77993507874,1298
77994949281,1298
77981870164,670
77983732326,343
77983744156,4536
77983803236,411
77987480126,3552
77993492076,1098
77993504050,898
77996255190,1598
77996269341,1298
77998753420,3796
77997435471,1498
77998734122,1298
77998737600,1298
77998750863,1298
77999885213,1298
77999886031,1298
77991513132,963
77994948780,898
77996275814,1098
77997433430,898
77998723036,1298
77998737003,1717
77999876415,1298
77999877244,990
78002208410,1098
78002213590,1298
78002216342,1598
78002228091,1298
78002258493,1098
78002229605,1398
78002235651,1098
78002271325,1198
78002882473,909
78002894572,684
78003806285,898
78000571003,1128
78003805283,1770
78003810312,1098
78003810743,1298
78004799526,1298
78006002130,990
78003825535,998
78004828532,1098
78006998985,1098
78007002802,1298
78008290264,1298
78010135302,1098
78011406550,1298
78010108606,1098
78010115352,1198
78011394392,690
78011404450,1298
78010106053,1298
78013826870,1538
78015180191,898
78015202440,1348
78016725673,1098
78018682243,1298
78020016782,999
78015169805,1098
78018660134,300
78020107900,1298
78021475442,1698
78021485290,1498
78023512151,1287
78019259581,1088
78022800284,1098
78023925571,1098
78027594315,1298
78027598471,1298
78029073404,1098
78029080640,1298
78029094500,1897
78030379755,1298
78030383933,1298
78025463110,1622
78029062823,998
78029077685,898
78030380562,1298
78027644170,795
78032476885,998
78032482006,1298
78032500335,798
78032569915,1298
78034075840,1298
78037307795,1898
78037312463,1199
78037360380,1098
78037375242,1198
78041327733,1298
78041329085,1897
78037869766,1865
78042977261,1598
78044570800,990
78044572244,998
78044574635,1098
78045707342,1298
78048842992,990
78048855791,1148
78045018645,1402
78048880383,674
78052197661,1148
78052199702,998
78053362590,1198
78052195900,2297
78053363625,690
78053365154,1298
78054783682,690
78053377301,1538
78053380893,998
78054776682,773
78054788593,998
78054794311,1098
78059536542,998
78059558824,848
78054781114,1098
78059532832,1298
78059535551,920
78059565216,698
78059580465,690
78059594491,1098
78062189074,1399
78062200333,1298
78059368726,1098
78059574342,1298
78059578026,1223
78059582963,998
78059595622,848
78062168461,2297
78059346385,1061
78059548055,1298
78059549061,1098
78059590162,690
78062157202,898
78062166641,2257
78062194711,1098
78063251140,1598
78065978082,1298
78066218952,671
78063244280,1298
78063257683,1098
78065934413,1298
78065938156,1298
78065946442,1498
78065958202,990
78065973860,1098
78066874756,1198
78066883300,990
78066889806,1298
78068684120,1798
78070105142,1298
78070107916,1198
78072572756,1298
78072578485,1199
78074342356,1298
78074354304,1628
78065945226,1298
78074356102,1199
78074358154,1598
78074374254,490
78075757373,1448
78075767140,1139
78076678901,898
78076687205,1398
78074351585,1098
78074365191,1098
78075752440,1298
78075760512,1099
78077952094,1298
78071117305,898
78079320826,999
78079332181,1098
78080512926,1298
78080522354,998
78082523433,2097
78082525312,1298
78080523452,1298
78081208564,1098
77608984460,3026
77609105070,65
77607995032,1015
77608362790,1519
77608592924,838
77608621333,2198
77608668432,894
77608677753,1776
77609937646,950
77612840196,394
