AWB Number,Amount
35604310289634,1299
35604310286403,1229
35604310285246,1328
35604310285445,476
35604310287685,1060
35604310276581,1565
35604310291561,1059
35604310289752,1287
35604310289553,3029
35604310291620,1025
35604310289542,1025
35604310286451,1229
35604310286720,1120
35604310291163,1263
35604310286624,999
35604310277476,1343
35604310276485,2840
35604310290566,4054
35604310284174,1229
35604310289951,1389
35604310284572,1180
35604310287184,1480
35604310289844,1059
35604310290253,1287
35604310291152,1602
35604310291491,483
35604310291502,945
35604310289822,1929
35604310287033,4722
35604310287663,1389
35604310292062,1389
35604310286565,2234
35604310291023,1698
35604310288072,1059
35604310290426,467
35604310286926,897
35604310291200,1919
35604310291395,358
35604310290290,1298
35604310288400,1174
35604310290415,3357
35604310290555,470
35604310290544,470
35604310287114,1025
35604310288573,1778
35604310287711,533
35604310287700,1108
35604310292084,1226
35604310291406,1
35604310282940,969
35604310291524,1602
35604310292051,538
35604310286506,2912
35604310287604,1581
35604310287571,527
35604310292025,1423
35604310290570,1140
35604310282704,1287
35604310290430,1298
35604310291686,582
35604310291944,1229
35604310291992,2326
35604310286764,1343
35604310286661,1298
35604310291723,1096
35604310286366,1186
35604310286230,1980
35604310278014,1842
35604310290706,5166
35604310289682,1139
35604310291605,1059
35604310290500,582
35604310290625,4022
35604310285132,1432
35604310290522,798
35604310284546,1441
35604310291174,642
35604310291126,909
35604310287755,2090
