AWB Number,Amount
35604310576634,4988
35604310565305,663
35604310552123,1015
35604310552193,2265
35604310572751,2028
35604310569973,1094
35604310526153,755
35604310569170,1909
35604310526492,495
35604310567744,1235
35604310568013,1608
35604310566123,3243
35604310568643,844
35604310565320,1067
35604310569741,473
35604310570743,1519
35604310562041,4782
35604310565460,844
35604310553372,803
35604310568691,6378
35604310570032,2057
35604310550874,1288
35604310558482,183
35604310568411,1239
35604310569881,1119
35604310561304,939
35604310566333,2383
35604310578690,834
35604310552904,1872
35604310566834,513
35604310568632,821
35604310565213,1594
35604310566425,968
35604310553954,769
35604310567044,1954
35604310569925,1296
35604310563706,844
35604310551401,3154
35604310568562,717
35604310572994,844
35604310574313,2229
35604310567556,718
35604310567685,699
35604310550675,2408
35604310566226,1618
35604310557406,2201
35604310553571,1525
35604310563496,999
35604310581070,2630
35604310569995,1719
35604310561271,1539
35604310549135,1726
35604310564126,1834
35604310566985,544
35604310572821,468
35604310530180,881
35604310567571,1083
35604310568061,2398
35604310569236,1868
35604310570404,906
35604310552462,1167
35604310563802,3219
35604310566031,1245
35604310566436,816
35604310555844,3082
35604310569015,2273
35604310569262,1029
35604310570662,902
35604310569030,1049
35604310561702,2555
35604310568890,994
35604310580834,939
35604310575072,6813
35604310543465,3387
35604310553394,1167
35604310536270,1027
35604310564830,829
35604310568724,1094
35604310570054,2482
35604310564104,1382
35604310568223,2398
35604310566296,1149
35604310574781,3409
35604310554120,2408
35604310530036,1300
35604310563415,1959
35604310565530,898
35604310565972,653
35604310556065,758
35604310574910,2445
35604310565014,1799
35604310553711,828
35604310565714,1194
35604310567383,844
35604310563846,553
35604310563275,1244
35604310565924,984
35604310562962,2408
35604310564034,4775
35604310565493,1059
35604310575153,1188
35604310570220,939
35604310569166,1194
35604310563894,1087
35604310581136,1184
35604310566171,1769
35604310564270,793
35604310571933,1049
35604310566602,754
35604310567755,1578
35604310575374,1087
35604310569730,829
35604310569365,929
35604310567733,5525
35604310578351,844
35604310570544,4364
35604310532394,2365
35604310559635,782
35604310570312,939
35604310576192,3459
35604310561735,1299
35604310534623,2265
35604310567792,844
35604310580576,678
35604310568470,769
35604310580134,1904
35604310554470,819
35604310563570,1321
35604310578535,1503
35604310537235,1217
35604310565961,2497
35604310548656,1244
35604310570861,929
35604310550664,5586
35604310553346,1105
35604310574873,156
35604310574232,2398
35604310542286,1749
35604310538311,1217
35604310552941,1217
35604310582422,1569
35604310580915,881
35604310563953,1029
35604310576741,1504
35604310576785,894
35604310581700,3354
35604310571082,4735
35604310567814,1624
35604310581523,2049
35604310562774,3068
35604310572051,1524
35604310562634,898
35604310564056,768
35604310565471,1094
35604310556452,1328
35604310563684,6370
35604310563651,3792
35604310563673,4215
35604310563732,10246
35604310573333,1952
35604310569074,922
35604310569214,1069
35604310558935,881
35604310563091,1804
35604310574350,1684
35604310563474,1049
35604310569800,1894
35604310565913,3463
35604310569855,1418
35604310563286,7125
35604310564023,9380
35604310565880,782
35604310563614,584
35604310577640,2349
35604310572062,1392
35604310567593,1004
35604310563640,1094
35604310558666,961
35604310563323,1049
35604310567092,3434
35604310566451,1049
35604310576155,1344
35604310568046,939
35604310569715,834
35604310568245,1094
35604310569656,3680
35604310582794,5299
35604310582816,2298
35604310581630,805
35604310572784,1917
35604310575186,1371
35604310566381,1084
35604310566495,488
35604310582260,829
35604310583380,1404
35604310583822,1869
35604310565585,754
35604310569704,814
35604310565946,1138
35604310559392,1314
35604310582934,1418
35604310561761,1025
35604310583413,1901
35604310566112,834
35604310563511,809
35604310582374,1934
35604310582724,5069
35604310563555,383
35604310565703,1984
35604310577710,718
35604310583483,1577
35604310575890,498
35604310563916,1939
35604310567582,1418
35604310565670,572
35604310565865,854
35604310534413,1308
35604310565681,717
35604310567700,1029
35604310572795,398
35604310568621,1899
35604310549986,315
35604310574991,1087
35604310568606,1000
35604310567011,2051
35604310580381,4519
35604310571830,844
35604310574840,2408
35604310562914,869
35604310564314,1060
35604310562284,1025
35604310572633,673
35604310533621,1188
35604310559823,1465
35604310583505,1049
35604310573963,2408
35604310579202,861
35604310582352,568
35604310554551,1353
35604310562925,1306
35604310570043,2009
35604310566355,939
35604310568875,1239
35604310566134,513
35604310572305,2368
35604310563452,663
35604310569693,808
35604310580882,881
35604310583693,834
35604310570765,939
35604310563581,1094
35604310575271,690
35604310566075,628
35604310566086,910
35604310568853,2768
35604310574501,6599
35604310567350,1114
35604310567615,2584
35604310552263,3788
35604310579434,2398
35604310573123,3261
35604310567781,2109
35604310570113,2849
35604310569251,966
35604310553416,562
35604310576844,2488
35604310565596,1934
35604310568912,1020
35604310568525,1909
35604310576295,466
35604310578712,3674
35604310571351,844
35604310577581,2398
35604310584463,844
35604310571793,844
35604310583225,618
35604310576914,1176
35604310575400,4064
35604310575245,2082
35604310576435,829
35604310583321,834
35604310576564,908
35604310579014,614
35604310570533,1057
35604310584905,1418
35604310585933,1638
35604310585734,2394
35604310571115,1948
35604310585826,939
35604310583133,1619
35604310576866,3173
35604310576214,1718
35604310574932,3088
35604310574070,844
35604310577743,869
35604310575315,1184
35604310581265,829
35604310582503,1240
35604310576376,1784
35604310570216,939
35604310585303,3599
35604310574593,3460
35604310581184,2911
35604310570581,939
35604310564546,1391
35604310564605,897
35604310585970,1094
35604310571480,1368
35604310583424,2408
35604310572655,806
35604310577334,5759
35604310573101,909
35604310569914,834
35604310577813,2183
35604310572574,1809
35604310567711,488
35604310573322,834
35604310575794,2319
35604310575201,1825
35604310586235,1407
35604310578410,2654
35604310576424,887
35604310574420,1704
35604310585141,844
35604310573952,468
35604310572740,2209
35604310572600,643
35604310579854,508
35604310583461,1443
35604310580506,1087
35604310571885,2689
35604310568396,1787
35604310585034,1039
35604310584732,939
35604310569726,1139
35604310586751,1061
35604310581055,3219
35604310576461,997
35604310576516,566
35604310579530,1084
35604310575912,1263
35604310571465,4716
35604310576181,3611
35604310583623,698
35604310583166,1684
35604310582492,1574
35604310586600,2636
35604310580856,834
35604310565261,1029
35604310558880,821
35604310571314,2753
35604310581280,1020
35604310574965,829
35604310581652,1009
35604310584942,557
35604310577625,1758
35604310576306,1058
35604310574696,1159
35604310586574,2429
35604310574431,1149
35604310571045,844
35604310571130,418
35604310578734,5525
35604310576085,1164
35604310569332,2044
35604310580893,939
35604310570916,349
35604310581254,939
35604310584404,929
35604310565412,994
35604310572946,1094
35604310574700,718
35604310569940,4389
35604310571524,1924
35604310571583,206
35604310572681,994
35604310576240,1344
35604310570242,938
35604310587565,2105
35604310566042,929
35604310581313,1418
35604310563824,1572
35604310563850,1268
35604310583214,2664
35604310576984,3318
35604310571432,844
35604310586681,1471
35604310565994,984
35604310575503,2154
35604310582455,818
35604310575094,2487
35604310575035,1019
35604310547805,1167
35604310557550,762
35604310576903,2592
35604310577883,1503
35604310574976,1563
35604310576704,1007
35604310571922,819
35604310574895,2601
35604310586283,5630
35604310576656,886
35604310573145,844
35604310581490,939
35604310578804,1879
35604310576446,784
35604310577570,1819
35604310583203,2350
35604310586003,1418
35604310585690,1418
35604310568492,1444
35604310585686,1594
35604310580451,1498
35604310578863,1418
35604310579585,984
35604310586401,834
35604310581674,886
35604310568326,2682
35604310574534,1309
35604310552845,1889
35604310567943,297
35604310579504,2408
35604310583586,1766
35604310572762,829
35604310568956,2405
35604310586250,2419
35604310575352,1095
35604310573300,1084
35604310575750,1559
35604310576365,1084
35604310576811,2362
