AWB Number,Amount
35604310518862,509
35604310519503,509
35604310508432,2038
35604310501900,1040
35604310513192,6558
35604310504195,938
35604310519363,509
35604310513564,577
35604310501690,600
35604310502014,1970
35604310511895,1
35604310482904,1034
35604310512105,1
35604310501793,1061
35604310502331,1049
35604310502316,1014
35604310513892,993
35604310519606,535
35604310510694,1896
35604310513041,686
35604310519573,535
35604310492752,929
35604310481014,1
35604310499074,2343
35604310507393,412
35604310509876,2574
35604310503996,510
35604310520181,387
35604310501395,1077
35604310518744,514
35604310513074,381
35604310499085,4704
35604310508480,688
35604310520144,758
35604310519886,535
35604310491315,977
35604310519385,391
35604310502095,1484
35604310482753,2703
35604310519256,535
35604310510016,939
35604310508804,740
35604310512050,1
35604310519831,407
35604310505584,970
35604310519466,535
35604310509670,381
35604310508675,1119
35604310518921,514
35604310507986,1898
35604310508992,1025
35604310518954,535
35604310511523,1805
35604310518884,535
35604310518980,514
35604310519105,535
35604310507754,167
35604310519540,535
35604310487454,793
35604310519470,535
35604310518976,535
35604310484433,2559
35604310518711,535
35604310511431,1
35604310511405,1841
35604310519750,535
35604310511991,881
35604310501830,1010
35604310519982,514
35604310506671,979
35604310520052,535
35604310510974,758
35604310508082,1183
35604310512260,1
35604310513026,554
35604310513553,453
35604310519455,535
35604310500301,1142
35604310519094,535
35604310512514,1
35604310519072,535
35604310511615,1
35604310497700,1344
35604310508550,1
35604310511965,1
35604310508281,241
35604310519691,489
35604310519492,509
35604310519595,535
35604310513446,414
35604310509445,513
35604310518840,509
35604310509961,939
35604310519046,535
35604310512772,9458
35604310519481,458.1
35604310479172,1
35604310519536,535
35604310508771,1145
35604310501572,585
35604310520192,762
35604310501826,1023
35604310519396,387
35604310500905,1
35604310519820,387
35604310511921,1
35604310519584,535
35604310518652,514
35604310500706,1025
35604310516810,3619
35604310519293,535
35604310515270,1
35604310507581,938
35604310520214,577
35604310518733,514
35604310518722,535
35604310519702,535
35604310518906,535
35604310519002,387
35604310515001,758
35604310500124,1441
35604310518895,535
35604310505363,1629
35604310505234,1600
35604310505271,1599
35604310505326,1629
35604310505400,1599
35604310519864,407
35604310519260,535
35604310508690,1734
35604310513310,475
35604310514791,1
35604310511954,1
35604310514603,1
35604310519713,535
35604310513181,1
35604310513656,453
35604310518873,489
35604310514426,881
35604310518674,535
35604310517532,881
35604310518770,535
35604310501760,1049
35604310502821,829
35604310519772,514
35604310518755,535
35604310509946,929
35604310500883,694
35604310500861,1900
35604310512573,1179
35604310503322,2219
35604310519676,758
35604310520984,2163
35604310513203,1
35604310507684,1726
35604310519853,370
35604310519315,509
35604310519175,489
35604310508465,1447
35604310519654,535
35604310507452,2229
35604310519551,535
35604310519945,535
35604310517786,4023
35604310520133,906
35604310513811,677
35604310501922,1049
35604310519525,489
35604310517156,2408
35604310502246,1049
35604310517926,1726
35604310519735,535
35604310514566,1
35604310518685,535
35604310515196,2080
35604310512072,1
35604310509972,1929
35604310480082,1
35604310502084,1049
35604310520520,1666
35604310519304,535
35604310519164,509
35604310508266,678
35604310509176,1049
35604310507964,1919
35604310514360,1
35604310512116,1
35604310501362,1005
35604310518932,535
35604310513822,1552
35604310504405,1929
35604310519632,535
35604310520122,758
35604310513634,416
35604310501071,1804
35604310514430,416
35604310519783,535
35604310515535,2408
35604310513796,2755
35604310515793,327
35604310520203,407
35604310519061,535
35604310505411,713
35604310510602,1049
35604310525431,489
35604310525641,1217
35604310522034,1300
35604310526853,453
35604310527181,1469
35604310520380,881
35604310525361,525
35604310514301,448
35604310512326,1
35604310525162,669
35604310526503,938
35604310519186,489
35604310525652,1822
35604310503716,983
35604310518011,1238
35604310525453,568
35604310502423,1444
35604310512212,1
35604310526385,2029
35604310507474,1059
35604310524252,950
35604310513155,757
35604310515782,1043
35604310526783,2408
35604310514393,1
35604310507242,1029
35604310525125,636
35604310517683,2408
35604310510661,721
35604310507566,1173
35604310506262,2273
35604310527435,321
35604310519444,535
35604310515454,1
35604310525420,601
35604310525943,1382
35604310526470,998
35604310523541,881
35604310511910,1
35604310524075,2303
35604310511663,1
35604310505223,3019
35604310510926,1167
35604310519116,535
35604310511442,1
35604310498702,1584
35604310504814,994
35604310503985,1061
35604310508970,516
35604310505374,912
35604310526455,2408
35604310508572,2104
35604310530972,453
35604310530666,453
35604310519610,535
35604310528393,298
35604310526400,2088
35604310507463,2145
35604310514684,1
35604310528544,298
35604310518836,509
35604310530316,1026
35604310509342,1156
35604310525184,535
35604310524495,2308
35604310504976,1980
35604310515244,1
35604310530445,758
35604310528673,453
35604310522690,1301
35604310531123,321
35604310517731,3009
35604310516854,2408
35604310530552,1442
35604310517930,1805
35604310530224,692
35604310529480,554
35604310514356,1
35604310519960,509
35604310499122,792
35604310530762,2237
35604310528496,298
35604310504011,6125
35604310529782,721
35604310509202,509
35604310515185,448
35604310503720,1011
35604310530600,453
35604310510845,1059
35604310520026,535
35604310512223,1
35604310529841,577
35604310509073,939
35604310526875,453
35604310507850,742
35604310529303,321
35604310530504,845
35604310503893,2095
35604310502854,1775
35604310520553,1032
35604310527214,1024
35604310529045,416
35604310509854,929
35604310503672,986
35604310524683,1553
35604310506951,996
35604310530935,453
35604310509714,1025
35604310525910,762
35604310528360,416
35604310531171,321
35604310529336,453
35604310508863,1280
35604310508900,1194
35604310527166,1
35604310511630,1
35604310506741,1049
35604310526116,1217
35604310530806,879
35604310504162,2048
35604310522631,881
35604310521916,1245
35604310508594,1081
35604310507286,4845
35604310524204,945
35604310512945,1
35604310516596,381
35604310518486,2374
35604310530191,729
35604310507275,2048
35604310531075,453
35604310522745,562
35604310517790,616
35604310517952,881
35604310518501,2103
35604310520015,535
35604310509283,760
35604310508255,251
35604310503370,925
35604310525210,869
35604310503392,1594
35604310522911,2419
35604310523224,2084
35604310530876,554
35604310507511,1059
35604310514813,1
35604310530832,1211
35604310503963,1212
35604310530084,1174
35604310499192,1530
35604310508885,4203
35604310527531,881
35604310530854,1760
35604310526363,597
35604310520800,881
35604310508561,1064
35604310508944,2228
35604310525490,610
35604310514754,1
35604310529955,1217
35604310509051,1025
35604310523073,1244
35604310530703,298
35604310513402,453
35604310532766,1245
35604310508141,668
35604310506380,3211
35604310506796,1152
35604310526551,1018
35604310524543,908
35604310520284,1330
35604310528986,453
35604310528161,5740
35604310514146,1
35604310509913,987
35604310506623,332
35604310509062,1968
35604310514640,958
35604310530891,453
35604310523876,3266
35604310515443,881
35604310523843,1513
35604310530121,721
35604310500312,729
35604310515325,1
35604310524521,881
35604310532490,1217
35604310518055,959
35604310513295,475
35604310530983,453
35604310531090,298
