AWB Number,Amount
35604310305782,969
35604310303251,510
35604310305572,1607
35604310304695,1980
35604310305841,482
35604310307543,2416
35604310313176,939
35604310305524,476
35604310305885,1297
35604310304986,986
35604310305804,1224
35604310309470,606
35604310303240,2320
35604310303052,6273
35604310302783,1929
35604310303446,2231
35604310305233,2457
35604310297312,2969
35604310303450,1059
35604310289586,692
35604310302956,1285
35604310302960,1217
35604310297150,2517
35604310303354,1486
35604310299235,1246
35604310300860,1059
35604310300112,367
35604310304113,2638
35604310296973,1162
35604310291550,1931
35604310302676,1059
35604310296155,1860
35604310295466,1927
35604310299132,1025
35604310302046,798
35604310297161,963
35604310298421,1806
35604310302573,1929
35604310297076,1010
35604310302606,1929
35604310302540,939
35604310302536,1929
35604310303461,1142
35604310302665,1226
35604310297021,1112
35604310303085,1100
35604310298745,717
35604310296995,1011
35604310295282,2388
35604310303181,1027
35604310301884,807
35604310303100,2057
35604310286801,2719
35604310301033,1142
35604310305561,776
35604310301000,778
35604310304415,1325
35604310305513,1142
35604310302234,1025
35604310306095,2848
35604310302746,4353
35604310304603,2977
35604310300963,922
35604310305255,2761
35604310305340,1088
35604310302164,1239
35604310297415,1280
35604310291572,1752
35604310298955,1025
35604310298605,1142
35604310303424,6243
35604310302481,1450
35604310304684,1530
35604310297253,2488
35604310304135,1012
35604310304802,1142
35604310304102,2734
35604310301394,991
35604310300650,801
35604310297905,1569
35604310298012,2078
35604310305222,947
35604310305244,1142
35604310303914,1946
35604310303111,8286
35604310305082,1012
35604310304846,1012
35604310304511,2319
35604310290651,1372
35604310304253,1226
35604310303796,1025
35604310306165,1216
35604310305491,1433
35604310304124,1837
35604310303726,1356
35604310301722,331
35604310305896,2531
35604310302724,1441
35604310304916,1883
35604310301895,2092
35604310304824,2358
35604310304220,413
35604310302455,1984
35604310304931,1981
35604310304150,671
35604310297356,476
35604310303936,778
35604310303063,1984
35604310306246,998
35604310304990,1372
35604310302190,999
35604310304500,3044
35604310302761,1088
35604310284550,1441
35604310297522,670
35604310303030,1168
35604310296251,722
35604310304706,476
35604310304146,2898
35604310306283,1025
35604310305830,1186
35604310305594,964
35604310305465,262
35604310305760,1846
35604310306051,2131
35604310306316,1360
35604310308033,939
35604310308022,1025
35604310300580,2862
35604310305211,1088
35604310309853,1720
35604310309363,1360
35604310303752,1174
35604310289660,1312
35604310303892,2959
35604310305992,2273
35604310292110,1239
35604310305900,755
35604310307930,939
35604310305045,2117
35604310307506,982
35604310303763,1098
35604310305723,2777
35604310312421,1758
35604310310063,2602
35604310304791,2234
35604310305130,898
35604310304312,2976
35604310313364,2799
35604310313250,1186
