AWB Number,Amount
77743483915,2991
77743499470,1864
77743500785,910
77743684384,1619
77744489130,1994
77744498193,1799
77744506022,1239
77744529645,1714
77744537625,758
77744549595,1619
77744561484,910
77744562232,1687
77744563050,1829
77744563341,794
77744571111,1094
77744571575,1319
77744577492,1619
77744652311,794
77744660895,2790
77744677474,1094
77744677986,2068
77744678281,780
77744679062,794
77744702884,794
77744703385,1094
77744703960,2615
77744706491,1819
77744712780,794
77744716840,1919
77744717481,857
77744721353,794
77744721880,2444
77744723490,1619
77744724934,794
77744725542,1544
77744994935,794
77745116514,794
77745238185,3714
77745255070,1619
77745286135,663
77745290980,1619
77745309611,1488
77745331042,2629
77745334634,894
77745429042,1619
77745471996,1080
77745540353,1094
77745549954,991
77745555731,455
77745660263,1893
