AWB Number,Amount
35604310095631,881
35604310099595,1493
35604310099271,1269
35604310103294,769
35604310099094,969
35604310094905,1092
35604310098173,1166
35604310094522,1295
35604310096294,969
35604310098523,969
35604310095885,833
35604310097484,797
35604310097786,881
35604310095686,2695
35604310092993,993
35604310099820,969
35604310088922,969
35604310085735,1582
35604310090123,8565
35604310096552,881
35604310098416,881
35604310096305,1857
35604310089040,1179
35604310091022,2455
35604310090845,1059
35604310093435,969
35604310091081,1237
35604310090742,1916
35604310091766,1217
35604310100155,962
35604310098081,772
35604310090786,3264
35604310088126,1059
35604310094846,963
35604310101054,969
35604310091582,798
35604310098700,814
35604310091486,2869
35604310094566,969
35604310090801,3196
35604310090952,1522
35604310098151,2633
35604310093785,1639
35604310093413,2029
35604310093730,1217
35604310097624,2388
35604310091033,1837
35604310093693,3791
35604310088970,1299
35604310099131,2110
35604310098420,3843
35604310095432,1805
35604310090974,939
35604310093612,1535
35604310087920,1599
35604310087334,1603
35604310095550,1071
35604310100785,969
35604310089235,969
35604310099223,1059
35604310098836,1000
35604310091932,4502
35604310092050,4340
35604310091976,3440
35604310099875,1720
35604310092971,993
35604310099573,1664
35604310090086,1779
35604310101242,969
35604310087916,1836
35604310090941,1088
35604310098641,969
35604310089913,1886
35604310103773,3652
35604310093645,728
35604310101544,1229
35604310096714,1873
35604310096316,2253
35604310090425,3064
35604310086391,1732
35604310089401,1059
35604310094312,969
35604310102594,1809
35604310098243,969
35604310091803,2670
35604310092960,1133
35604310098103,1869
35604310101570,2769
35604310093811,1217
35604310094485,2114
35604310097510,3216
35604310086726,1348
35604310097646,881
35604310090764,825
35604310099525,1146
35604310094275,969
35604310093866,881
35604310088756,4131
35604310093446,1090
35604310089224,969
35604310094706,969
35604310098044,3306
35604310093004,1497
35604310094220,881
35604310093354,881
35604310098814,2029
35604310084560,969
35604310093682,1141
35604310089423,1929
35604310095605,2769
35604310087975,877
35604310091792,2988
35604310095620,3479
35604310100096,1104
35604310091140,969
35604310087791,3087
35604310097193,703
35604310085750,2769
35604310093962,969
35604310103596,1692
35604310098486,1781
35604310096106,909
35604310095373,969
35604310103600,825
35604310095561,1071
35604310092842,2169
35604310102373,1683
35604310102314,1805
35604310095502,2841
35604310091965,3340
35604310094780,1217
35604310092750,1217
35604310095023,993
35604310101356,790
35604310095970,700
35604310095664,1721
35604310094732,1071
35604310101264,2182
35604310093494,1389
35604310098114,1071
35604310088104,1299
35604310101091,1269
35604310099536,939
35604310100284,1831
35604310084210,3966
35604310096574,969
35604310093391,1217
35604310100310,1778
35604310093424,1217
35604310098125,2263
35604310095616,969
35604310097705,1805
35604310094765,993
35604310094463,967
35604310098501,1990
35604310102465,2154
35604310102955,2029
35604310100590,1215
35604310095896,781
35604310088292,2698
35604310104296,867
35604310094721,2029
35604310103552,969
35604310103655,4117
35604310093380,969
35604310100656,1021
35604310098232,2067
35604310101566,594
35604310101043,1909
35604310092131,879
35604310095060,1805
35604310095314,3401
35604310099330,1299
35604310098781,969
35604310101636,777
35604310098092,969
35604310100214,2067
35604310097661,2953
35604310098545,2051
35604310103401,825
35604310102351,1868
35604310094161,1833
35604310092083,1693
35604310102266,969
35604310106013,471
35604310107074,1805
35604310100973,1269
35604310089493,1059
35604310094872,706
35604310094205,1217
35604310101625,969
35604310098033,969
35604310101522,993
35604310103025,3086
35604310102406,1781
35604310101183,1151
35604310103003,1604
35604310100236,969
35604310105615,988
35604310100321,3909
35604310101463,867
35604310096622,969
35604310104300,2200
35604310094581,1604
35604310091755,999
35604310106422,1209
35604310101360,1516
35604310105453,3633
35604310093402,594
35604310099540,895
35604310098980,769
35604310101345,1836
35604310106234,1779
35604310105280,1779
35604310101371,1516
35604310095524,4565
35604310099514,1868
35604310101382,1237
