"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,"Charged Weight","Foward Freight","RTO Freight","Extra Wgt Charges","RTO Extra Wgt Charges","COD Charges","Sub Total",IGST,SGST,CGST,"Grand Total","Order Amount","Warehouse City","Warehouse State","Warehouse Pin Code",SKU(1),Product(1),Quantity(1),SKU(2),Product(2),Quantity(2),SKU(3),Product(3),Quantity(3),SKU(4),Product(4),Quantity(4),SKU(5),Product(5),Quantity(5),SKU(6),Product(6),Quantity(6),SKU(7),Product(7),Quantity(7),SKU(8),Product(8),Quantity(8),SKU(9),Product(9),Quantity(9),SKU(10),Product(10),Quantity(10)
Forward,"Xpressbees 500 gms - DKT",153689150103298,Delivered,"DARK ELAFI INDUSTRIES PRIVATE LIMITED",24723,202505290958489,PREPAID,283203,FIROZABAD,1,0,0,28.75,0,0,28.75,5.18,0,0,33.93,840,KANNAUJ,"UTTAR PRADESH",209726,DARKELAFI10,"Perfume bottle cap",140,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Xpressbees 500 gms - DKT",153689150104360,Delivered,"DARK ELAFI INDUSTRIES PRIVATE LIMITED",24736,202505291209177,PREPAID,271865,Nanpara,1.5,0,0,28.75,0,0,28.75,5.18,0,0,33.93,800,KANNAUJ,"UTTAR PRADESH",209726,DARKELAFI10,"Perfume Spray 20ml",8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Xpressbees 20 Kg - DKT",153700850001310,Delivered,"DARK ELAFI INDUSTRIES PRIVATE LIMITED",24163,202505270807018,PREPAID,560049,BANGALORE,45,0,0,495,0,0,495,89.1,0,0,584.1,20520,KANNAUJ,"UTTAR PRADESH",209726,DARKELAFI10,"Perfume Spray 100ml",24,DARKELAFI11,"Perfume Discovery Set",30,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Xpressbees 20 Kg - DKT",153700850001201,Delivered,"DARK ELAFI INDUSTRIES PRIVATE LIMITED",24153,202505270148126,PREPAID,560049,BANGALORE,45,0,0,157.5,0,0,157.5,28.35,0,0,185.85,31680,KANNAUJ,"UTTAR PRADESH",209726,DARKELAFI10,"Perfume Spray 100ml",96,,,,,,,,,,,,,,,,,,,,,,,,,,,
