"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,"Charged Weight","Foward Freight","RTO Freight","Extra Wgt Charges","RTO Extra Wgt Charges","COD Charges","Sub Total",IGST,SGST,CGST,"Grand Total","Order Amount","Warehouse City","Warehouse State","Warehouse Pin Code",SKU(1),Product(1),Quantity(1),SKU(2),Product(2),Quantity(2),SKU(3),Product(3),Quantity(3),SKU(4),Product(4),Quantity(4),SKU(5),Product(5),Quantity(5),SKU(6),Product(6),Quantity(6),SKU(7),Product(7),Quantity(7),SKU(8),Product(8),Quantity(8),SKU(9),Product(9),Quantity(9),SKU(10),Product(10),Quantity(10)
Forward,"Blue Dart 500 gms",77774741752,Delivered,FureverKare,10394,#1508,COD,453771,DEWAS,1,96.26,0,0,0,28,124.26,22.37,0,0,146.63,539,"NEW DELHI",Delhi,110024,NA,"Smartheart Roasted Duck Flavour (Adult & Puppy) (12)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310065940,Delivered,FureverKare,10395,#1505,COD,209743,Chhibramau,0.5,45.51,0,0,0,32,77.51,13.95,0,0,91.46,230,"NEW DELHI",Delhi,110024,NA,"Intas Softas Plus  (1)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310065951,Delivered,FureverKare,10406,#1510,COD,796261,Saitual,1,104.55,0,0,0,32,136.55,24.58,0,0,161.13,397,"NEW DELHI",Delhi,110024,NA,"Me-O Canned Tuna (2)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 5 Kg - DKT",35655310000162,Rto,FureverKare,9349,#1463,COD,212659,Ghatampur,5,0,174.66,0,0,-32,142.66,25.68,0,0,168.34,979,"NEW DELHI",Delhi,110024,NA,"Smartheart Powerpack Adult",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Xpressbees 500 gms",14344950188646,Delivered,FureverKare,290,#1274,COD,403802,HARAWADA,0.5,0,-38.01,0,0,25.42,-12.58,-2.27,0,0,-14.85,817,"NEW DELHI","NEW DELHI",110024,NA,"SkyEc Care Best Shampoo (2)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
