"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,"Charged Weight","Foward Freight","RTO Freight","Extra Wgt Charges","RTO Extra Wgt Charges","COD Charges","Sub Total",IGST,SGST,CGST,"Grand Total","Order Amount","Warehouse City","Warehouse State","Warehouse Pin Code",SKU(1),Product(1),Quantity(1),SKU(2),Product(2),Quantity(2),SKU(3),Product(3),Quantity(3),SKU(4),Product(4),Quantity(4),SKU(5),Product(5),Quantity(5),SKU(6),Product(6),Quantity(6),SKU(7),Product(7),Quantity(7),SKU(8),Product(8),Quantity(8),SKU(9),Product(9),Quantity(9),SKU(10),Product(10),Quantity(10)
Forward,"Delhivery 500 gms - DKT",35604310371991,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",53141,744165,COD,201301,"UTTAR PRADESH",0.5,24.84,0,0,0,32,56.84,10.23,0,0,67.07,1464,"NEW DELHI",Delhi,110096,CV-MC177,"Moisturizing Cream ( 177ml)",1,CV-MC-DVD-TCH-50-PK2,"Moisturizing Cream 50ml Pack of 2",1,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310372002,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",53142,744166,COD,796009,MIZORAM,0.5,102,0,0,0,30.88,132.88,23.92,0,0,156.8,772,"NEW DELHI",Delhi,110096,CR010,"AHA/BHA Clarifying Treatment Toner - 150ml",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310372013,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",53143,744176,COD,796891,MIZORAM,0.5,102,0,0,0,30.88,132.88,23.92,0,0,156.8,1318,"NEW DELHI",Delhi,110096,8809115025050,"Klairs Freshly Juiced Vitamin Drop 35ml",1,Klairs014M,"Supple Preparation Unscented Toner - 30ml",1,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310372024,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",53144,744177,COD,796701,MIZORAM,1,204,0,0,0,55.18,259.18,46.65,0,0,305.83,2615,"NEW DELHI",Delhi,110096,CR026,"Salicylic Acid Daily Gentle Cleanser - 150 ml",5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310372035,Rto,"ROADSKYE TRADECOM PRIVATE LIMITED",53145,744178,COD,625022,"TAMIL NADU",0.5,69,69,0,0,0,138,24.84,0,0,162.84,1186,"NEW DELHI",Delhi,110096,8809634610034,"Dark Spot Correcting Glow Serum 50ml",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310372046,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",53146,744179,COD,796441,MIZORAM,0.5,102,0,0,0,30.88,132.88,23.92,0,0,156.8,482,"NEW DELHI",Delhi,110096,8809525930517,"Rice Toner 30ml",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310372050,Rto,"ROADSKYE TRADECOM PRIVATE LIMITED",53147,744180,COD,751024,ORISSA,0.5,69,69,0,0,0,138,24.84,0,0,162.84,1924,"NEW DELHI",Delhi,110096,35419,"Performance Whey Protein Powder 1kg - Chocolate Milkshake",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310337886,Rto,"ROADSKYE TRADECOM PRIVATE LIMITED",48993,738818,COD,560056,KARNATAKA,0.5,0,57.5,0,0,-34.23,23.27,4.19,0,0,27.46,1622,"NEW DELHI",Delhi,110096,COSRX_Combo01,"Special Offer Snail Mucin Combo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310335775,Rto,"ROADSKYE TRADECOM PRIVATE LIMITED",48770,738468,COD,518005,"ANDHRA PRADESH",0.5,0,69,0,0,-30.88,38.12,6.86,0,0,44.98,1231,"NEW DELHI",Delhi,110096,IUKCCDS,"Centella Calming Daily Sunscreen - 60ml",1,8809525930517,"Rice Toner 30ml",1,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310333966,Rto,"ROADSKYE TRADECOM PRIVATE LIMITED",48563,738078,PREPAID,500100,Telangana,0.5,0,57.5,0,0,0,57.5,10.35,0,0,67.85,956,"NEW DELHI",Delhi,110096,BOJ-spf50-001,"Relief Sun Aqua-Fresh  Rice + B5 (SPF50+ PA++++) 50ml",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310321941,Rto,"ROADSKYE TRADECOM PRIVATE LIMITED",47218,736713,COD,799250,TRIPURA,0.5,0,102,0,0,-30.88,71.12,12.8,0,0,83.92,399,"NEW DELHI",Delhi,110096,CR008M,"Advanced Snail 96 Mucin Power Essence - 30ml",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310372061,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",53148,744183,COD,795138,MANIPUR,0.5,102,0,0,0,30.88,132.88,23.92,0,0,156.8,772,"NEW DELHI",Delhi,110096,CR010,"AHA/BHA Clarifying Treatment Toner - 150ml",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
